id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,swap__positions_spread_all,m_money_positions_long_all,m_money_positions_short_all,m_money_positions_spread,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,prod_merc_positions_long_1,prod_merc_positions_short_1,swap_positions_long_old,swap__positions_short_old,swap__positions_spread_old,m_money_positions_long_old,m_money_positions_short_old,m_money_positions_spread_1,other_rept_positions_long_1,other_rept_positions_short_1,other_rept_positions_spread_1,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,prod_merc_positions_long_2,prod_merc_positions_short_2,swap_positions_long_other,swap__positions_short_other,swap__positions_spread_other,m_money_positions_long_other,m_money_positions_short_other,m_money_positions_spread_2,other_rept_positions_long_2,other_rept_positions_short_2,other_rept_positions_spread_2,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_short,pct_of_oi_swap_long_all,pct_of_oi_swap_short_all,pct_of_oi_swap_spread_all,pct_of_oi_m_money_long_all,pct_of_oi_m_money_short_all,pct_of_oi_m_money_spread,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_short_1,pct_of_oi_swap_long_old,pct_of_oi_swap_short_old,pct_of_oi_swap_spread_old,pct_of_oi_m_money_long_old,pct_of_oi_m_money_short_old,pct_of_oi_m_money_spread_1,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_spread_1,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_other,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_other,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread_2,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread_2,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_prod_merc_long_all,traders_prod_merc_short_all,traders_swap_long_all,traders_swap_short_all,traders_swap_spread_all,traders_m_money_long_all,traders_m_money_short_all,traders_m_money_spread_all,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_prod_merc_long_old,traders_prod_merc_short_old,traders_swap_long_old,traders_swap_short_old,traders_swap_spread_old,traders_m_money_long_old,traders_m_money_short_old,traders_m_money_spread_old,traders_other_rept_long_old,traders_other_rept_short_1,traders_other_rept_spread_1,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_prod_merc_long_other,traders_prod_merc_short_other,traders_swap_long_other,traders_swap_short_other,traders_swap_spread_other,traders_m_money_long_other,traders_m_money_short_other,traders_m_money_spread_other,traders_other_rept_long_other,traders_other_rept_short_2,traders_other_rept_spread_2,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,cftc_subgroup_code,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
220802067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-08-02T00:00:00.000,2022 Report Week 31,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,449195,243611,179349,7384,71708,22615,19099,16882,24655,44933,47879,73747,436044,436835,13151,12360,449195,243611,179349,7384,71708,22615,19099,16882,24655,44933,47879,73747,436044,436835,13151,12360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3178.0,-9521.0,-9338.0,-415.0,-721.0,3428.0,1646.0,-1590.0,6447.0,1369.0,2998.0,-4525.0,-1571.0,-3301.0,-1607.0,123.0,100.0,54.2,39.9,1.6,16.0,5.0,4.3,3.8,5.5,10.0,10.7,16.4,97.1,97.2,2.9,2.8,100.0,54.2,39.9,1.6,16.0,5.0,4.3,3.8,5.5,10.0,10.7,16.4,97.1,97.2,2.9,2.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,37.0,34.0,7.0,9.0,15.0,7.0,10.0,16.0,9,21.0,25,100,95,109,37.0,34.0,7.0,9.0,15.0,7.0,10.0,16.0,9,21.0,25,100,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,25.9,52.6,42.1,33.9,21.9,40.0,32.0,40.2,25.9,52.6,42.1,33.9,21.9,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220809067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-08-09T00:00:00.000,2022 Report Week 32,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,441065,226451,181537,7106,72878,23726,26984,17067,22344,50026,39307,71241,427878,428100,13187,12965,441065,226451,181537,7106,72878,23726,26984,17067,22344,50026,39307,71241,427878,428100,13187,12965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8130.0,-17160.0,2188.0,-278.0,1170.0,1111.0,7885.0,185.0,-2311.0,5093.0,-8572.0,-2506.0,-8166.0,-8735.0,36.0,605.0,100.0,51.3,41.2,1.6,16.5,5.4,6.1,3.9,5.1,11.3,8.9,16.2,97.0,97.1,3.0,2.9,100.0,51.3,41.2,1.6,16.5,5.4,6.1,3.9,5.1,11.3,8.9,16.2,97.0,97.1,3.0,2.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,36.0,28.0,7.0,9.0,15.0,7.0,10.0,15.0,10,22.0,25,98,89,106,36.0,28.0,7.0,9.0,15.0,7.0,10.0,15.0,10,22.0,25,98,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,25.6,51.5,42.8,35.1,22.3,40.4,32.6,40.2,25.6,51.5,42.8,35.1,22.3,40.4,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
221018067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-10-18T00:00:00.000,2022 Report Week 42,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,432399,243263,201416,14148,58208,19891,15436,26755,19143,49355,33969,61015,422251,420397,10148,12002,432399,243263,201416,14148,58208,19891,15436,26755,19143,49355,33969,61015,422251,420397,10148,12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12422.0,14609.0,4431.0,1078.0,-2287.0,967.0,393.0,-2395.0,4730.0,-3572.0,11951.0,-4182.0,14023.0,13215.0,-1601.0,-793.0,100.0,56.3,46.6,3.3,13.5,4.6,3.6,6.2,4.4,11.4,7.9,14.1,97.7,97.2,2.3,2.8,100.0,56.3,46.6,3.3,13.5,4.6,3.6,6.2,4.4,11.4,7.9,14.1,97.7,97.2,2.3,2.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,38.0,36.0,6.0,9.0,14.0,7.0,11.0,13.0,9,22.0,27,97,98,108,38.0,36.0,6.0,9.0,14.0,7.0,11.0,13.0,9,22.0,27,97,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,28.7,54.7,47.6,36.8,22.2,43.8,35.8,42.9,28.7,54.7,47.6,36.8,22.2,43.8,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
221025067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-10-25T00:00:00.000,2022 Report Week 43,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,417487,223249,191014,12502,55550,17556,15867,26864,27522,54273,30642,57371,408340,406519,9147,10968,417487,223249,191014,12502,55550,17556,15867,26864,27522,54273,30642,57371,408340,406519,9147,10968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14912.0,-20014.0,-10402.0,-1646.0,-2658.0,-2335.0,431.0,109.0,8379.0,4918.0,-3327.0,-3644.0,-13911.0,-13878.0,-1001.0,-1034.0,100.0,53.5,45.8,3.0,13.3,4.2,3.8,6.4,6.6,13.0,7.3,13.7,97.8,97.4,2.2,2.6,100.0,53.5,45.8,3.0,13.3,4.2,3.8,6.4,6.6,13.0,7.3,13.7,97.8,97.4,2.2,2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,34.0,31.0,6.0,9.0,14.0,7.0,11.0,14.0,10,23.0,29,98,94,109,34.0,31.0,6.0,9.0,14.0,7.0,11.0,14.0,10,23.0,29,98,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1,27.9,55.5,45.5,35.9,21.7,43.4,35.7,42.1,27.9,55.5,45.5,35.9,21.7,43.4,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220816067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-08-16T00:00:00.000,2022 Report Week 33,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,439656,236558,182761,7721,69656,23470,21877,17203,24879,50673,46507,61294,426472,425770,13184,13886,439656,236558,182761,7721,69656,23470,21877,17203,24879,50673,46507,61294,426472,425770,13184,13886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1409.0,10107.0,1224.0,615.0,-3222.0,-256.0,-5107.0,136.0,2535.0,647.0,7200.0,-9947.0,-1406.0,-2330.0,-3.0,921.0,100.0,53.8,41.6,1.8,15.8,5.3,5.0,3.9,5.7,11.5,10.6,13.9,97.0,96.8,3.0,3.2,100.0,53.8,41.6,1.8,15.8,5.3,5.0,3.9,5.7,11.5,10.6,13.9,97.0,96.8,3.0,3.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,35.0,30.0,8.0,9.0,16.0,6.0,10.0,13.0,11,21.0,22,94,89,108,35.0,30.0,8.0,9.0,16.0,6.0,10.0,13.0,11,21.0,22,94,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,26.4,52.5,44.3,35.5,23.2,41.9,34.4,40.6,26.4,52.5,44.3,35.5,23.2,41.9,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220823067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-08-23T00:00:00.000,2022 Report Week 34,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,423212,233954,184567,7893,63194,19380,16811,21163,21870,51248,40897,59402,410558,410473,12654,12739,423212,233954,184567,7893,63194,19380,16811,21163,21870,51248,40897,59402,410558,410473,12654,12739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16444.0,-2604.0,1806.0,172.0,-6462.0,-4090.0,-5066.0,3960.0,-3009.0,575.0,-5610.0,-1892.0,-15914.0,-15297.0,-530.0,-1147.0,100.0,55.3,43.6,1.9,14.9,4.6,4.0,5.0,5.2,12.1,9.7,14.0,97.0,97.0,3.0,3.0,100.0,55.3,43.6,1.9,14.9,4.6,4.0,5.0,5.2,12.1,9.7,14.0,97.0,97.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,35.0,32.0,6.0,10.0,15.0,5.0,11.0,12.0,9,20.0,23,90,91,106,35.0,32.0,6.0,10.0,15.0,5.0,11.0,12.0,9,20.0,23,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8,27.9,54.7,45.9,36.4,24.8,43.8,35.4,41.8,27.9,54.7,45.9,36.4,24.8,43.8,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220830067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-08-30T00:00:00.000,2022 Report Week 35,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,421270,234561,192316,10763,62743,19439,18955,23409,17864,53424,39122,52982,407988,407875,13282,13395,421270,234561,192316,10763,62743,19439,18955,23409,17864,53424,39122,52982,407988,407875,13282,13395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1942.0,607.0,7749.0,2870.0,-451.0,59.0,2144.0,2246.0,-4006.0,2176.0,-1775.0,-6420.0,-2570.0,-2598.0,628.0,656.0,100.0,55.7,45.7,2.6,14.9,4.6,4.5,5.6,4.2,12.7,9.3,12.6,96.8,96.8,3.2,3.2,100.0,55.7,45.7,2.6,14.9,4.6,4.5,5.6,4.2,12.7,9.3,12.6,96.8,96.8,3.2,3.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,37.0,36.0,6.0,9.0,14.0,5.0,11.0,12.0,11,18.0,22,92,92,106,37.0,36.0,6.0,9.0,14.0,5.0,11.0,12.0,11,18.0,22,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,28.2,53.8,46.1,36.0,24.9,42.5,36.0,41.6,28.2,53.8,46.1,36.0,24.9,42.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220906067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-09-06T00:00:00.000,2022 Report Week 36,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,422409,229976,191401,10650,64491,18651,16631,24518,21268,57279,32780,55883,410338,408992,12071,13417,422409,229976,191401,10650,64491,18651,16631,24518,21268,57279,32780,55883,410338,408992,12071,13417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139.0,-4585.0,-915.0,-113.0,1748.0,-788.0,-2324.0,1109.0,3404.0,3855.0,-6342.0,2901.0,2350.0,1117.0,-1211.0,22.0,100.0,54.4,45.3,2.5,15.3,4.4,3.9,5.8,5.0,13.6,7.8,13.2,97.1,96.8,2.9,3.2,100.0,54.4,45.3,2.5,15.3,4.4,3.9,5.8,5.0,13.6,7.8,13.2,97.1,96.8,2.9,3.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,37.0,38.0,7.0,8.0,13.0,6.0,10.0,11.0,11,19.0,24,92,95,108,37.0,38.0,7.0,8.0,13.0,6.0,10.0,11.0,11,19.0,24,92,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,27.6,53.4,45.4,35.3,24.6,42.4,35.5,41.0,27.6,53.4,45.4,35.3,24.6,42.4,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220913067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-09-13T00:00:00.000,2022 Report Week 37,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,439957,235366,194157,11277,65990,18634,15674,24589,22026,54422,31580,69153,426552,426129,13405,13828,439957,235366,194157,11277,65990,18634,15674,24589,22026,54422,31580,69153,426552,426129,13405,13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17548.0,5390.0,2756.0,627.0,1499.0,-17.0,-957.0,71.0,758.0,-2857.0,-1200.0,13270.0,16214.0,17137.0,1334.0,411.0,100.0,53.5,44.1,2.6,15.0,4.2,3.6,5.6,5.0,12.4,7.2,15.7,97.0,96.9,3.0,3.1,100.0,53.5,44.1,2.6,15.0,4.2,3.6,5.6,5.0,12.4,7.2,15.7,97.0,96.9,3.0,3.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,38.0,38.0,7.0,8.0,14.0,6.0,11.0,11.0,10,19.0,24,94,95,108,38.0,38.0,7.0,8.0,14.0,6.0,11.0,11.0,10,19.0,24,94,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3,26.1,53.3,46.2,35.5,22.7,42.0,35.3,42.3,26.1,53.3,46.2,35.5,22.7,42.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220920067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",2022-09-20T00:00:00.000,2022 Report Week 38,"CRUDE OIL, LIGHT SWEET-WTI",67411,ICEU,NYC,67,CRUDE OIL,424273,228850,190239,13069,61844,18327,12911,27109,21235,52797,27479,65492,412681,411725,11592,12548,424273,228850,190239,13069,61844,18327,12911,27109,21235,52797,27479,65492,412681,411725,11592,12548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15684.0,-6516.0,-3918.0,1792.0,-4146.0,-307.0,-2763.0,2520.0,-791.0,-1625.0,-4101.0,-3661.0,-13871.0,-14404.0,-1813.0,-1280.0,100.0,53.9,44.8,3.1,14.6,4.3,3.0,6.4,5.0,12.4,6.5,15.4,97.3,97.0,2.7,3.0,100.0,53.9,44.8,3.1,14.6,4.3,3.0,6.4,5.0,12.4,6.5,15.4,97.3,97.0,2.7,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,37.0,36.0,7.0,8.0,14.0,6.0,11.0,11.0,10,19.0,23,93,93,108,37.0,36.0,7.0,8.0,14.0,6.0,11.0,11.0,10,19.0,23,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,27.7,54.9,47.4,36.4,23.2,43.7,37.0,44.5,27.7,54.9,47.4,36.4,23.2,43.7,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 1,000 BARRELS)",N10,CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
