id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,swap__positions_spread_all,m_money_positions_long_all,m_money_positions_short_all,m_money_positions_spread,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,prod_merc_positions_long_1,prod_merc_positions_short_1,swap_positions_long_old,swap__positions_short_old,swap__positions_spread_old,m_money_positions_long_old,m_money_positions_short_old,m_money_positions_spread_1,other_rept_positions_long_1,other_rept_positions_short_1,other_rept_positions_spread_1,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,prod_merc_positions_long_2,prod_merc_positions_short_2,swap_positions_long_other,swap__positions_short_other,swap__positions_spread_other,m_money_positions_long_other,m_money_positions_short_other,m_money_positions_spread_2,other_rept_positions_long_2,other_rept_positions_short_2,other_rept_positions_spread_2,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_short,pct_of_oi_swap_long_all,pct_of_oi_swap_short_all,pct_of_oi_swap_spread_all,pct_of_oi_m_money_long_all,pct_of_oi_m_money_short_all,pct_of_oi_m_money_spread,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_short_1,pct_of_oi_swap_long_old,pct_of_oi_swap_short_old,pct_of_oi_swap_spread_old,pct_of_oi_m_money_long_old,pct_of_oi_m_money_short_old,pct_of_oi_m_money_spread_1,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_spread_1,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_other,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_other,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread_2,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread_2,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_prod_merc_long_all,traders_prod_merc_short_all,traders_swap_long_all,traders_swap_short_all,traders_swap_spread_all,traders_m_money_long_all,traders_m_money_short_all,traders_m_money_spread_all,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_prod_merc_long_old,traders_prod_merc_short_old,traders_swap_long_old,traders_swap_short_old,traders_swap_spread_old,traders_m_money_long_old,traders_m_money_short_old,traders_m_money_spread_old,traders_other_rept_long_old,traders_other_rept_short_1,traders_other_rept_spread_1,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_prod_merc_long_other,traders_prod_merc_short_other,traders_swap_long_other,traders_swap_short_other,traders_swap_spread_other,traders_m_money_long_other,traders_m_money_short_other,traders_m_money_spread_other,traders_other_rept_long_other,traders_other_rept_short_2,traders_other_rept_spread_2,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,cftc_subgroup_code,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
220802111659F,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-02T00:00:00.000,2022 Report Week 31,GASOLINE RBOB,111659,NYME,NYC,111,GASOLINE,253520,70988,161315,42813,9781,4885,60216,4440,21270,18568,23526,15780,234520,240997,19000,12523,253520,70988,161315,42813,9781,4885,60216,4440,21270,18568,23526,15780,234520,240997,19000,12523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1986.0,-2398.0,2877.0,-2378.0,-677.0,-1322.0,4356.0,-1603.0,1938.0,-3.0,542.0,-1528.0,-1335.0,227.0,-651.0,-2213.0,100.0,28.0,63.6,16.9,3.9,1.9,23.8,1.8,8.4,7.3,9.3,6.2,92.5,95.1,7.5,4.9,100.0,28.0,63.6,16.9,3.9,1.9,23.8,1.8,8.4,7.3,9.3,6.2,92.5,95.1,7.5,4.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,47.0,74.0,15.0,10.0,17.0,59.0,12.0,35.0,15.0,16.0,22.0,165,161,209,47.0,74.0,15.0,10.0,17.0,59.0,12.0,35.0,15.0,16.0,22.0,165,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,20.2,27.0,30.1,12.1,15.3,21.7,23.5,15.1,20.2,27.0,30.1,12.1,15.3,21.7,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220809111659F,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-09T00:00:00.000,2022 Report Week 32,GASOLINE RBOB,111659,NYME,NYC,111,GASOLINE,250399,71244,155338,44223,10383,6626,57314,4624,22367,17202,24386,12497,231473,236221,18926,14178,250399,71244,155338,44223,10383,6626,57314,4624,22367,17202,24386,12497,231473,236221,18926,14178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3121.0,256.0,-5977.0,1410.0,602.0,1741.0,-2902.0,184.0,1097.0,-1366.0,860.0,-3283.0,-3047.0,-4776.0,-74.0,1655.0,100.0,28.5,62.0,17.7,4.1,2.6,22.9,1.8,8.9,6.9,9.7,5.0,92.4,94.3,7.6,5.7,100.0,28.5,62.0,17.7,4.1,2.6,22.9,1.8,8.9,6.9,9.7,5.0,92.4,94.3,7.6,5.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,49.0,74.0,15.0,9.0,15.0,58.0,12.0,37.0,14.0,17.0,21.0,163,163,211,49.0,74.0,15.0,9.0,15.0,58.0,12.0,37.0,14.0,17.0,21.0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,18.8,27.9,28.6,12.3,14.6,21.8,22.9,16.4,18.8,27.9,28.6,12.3,14.6,21.8,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
221018111659F,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,2022-10-18T00:00:00.000,2022 Report Week 42,GASOLINE RBOB,111659,NYME,NYC,111,GASOLINE,253889,84115,161413,42198,9698,10578,54963,4933,15884,15953,24117,11544,235235,238167,18654,15722,253889,84115,161413,42198,9698,10578,54963,4933,15884,15953,24117,11544,235235,238167,18654,15722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3658.0,-900.0,-2679.0,-644.0,-2710.0,1978.0,-2361.0,394.0,-490.0,-386.0,-1725.0,230.0,-2573.0,-5002.0,-1085.0,1344.0,100.0,33.1,63.6,16.6,3.8,4.2,21.6,1.9,6.3,6.3,9.5,4.5,92.7,93.8,7.3,6.2,100.0,33.1,63.6,16.6,3.8,4.2,21.6,1.9,6.3,6.3,9.5,4.5,92.7,93.8,7.3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,45.0,71.0,14.0,11.0,16.0,54.0,11.0,34.0,8.0,20.0,20.0,155,152,193,45.0,71.0,14.0,11.0,16.0,54.0,11.0,34.0,8.0,20.0,20.0,155,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,16.8,27.7,28.0,11.6,11.8,19.5,20.2,16.4,16.8,27.7,28.0,11.6,11.8,19.5,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220816111659F,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-16T00:00:00.000,2022 Report Week 33,GASOLINE RBOB,111659,NYME,NYC,111,GASOLINE,259784,71535,160082,44816,8899,8568,65315,4774,21080,16079,28951,11892,239285,244246,20499,15538,259784,71535,160082,44816,8899,8568,65315,4774,21080,16079,28951,11892,239285,244246,20499,15538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9385.0,291.0,4744.0,593.0,-1484.0,1942.0,8001.0,150.0,-1287.0,-1123.0,4565.0,-605.0,7812.0,8025.0,1573.0,1360.0,100.0,27.5,61.6,17.3,3.4,3.3,25.1,1.8,8.1,6.2,11.1,4.6,92.1,94.0,7.9,6.0,100.0,27.5,61.6,17.3,3.4,3.3,25.1,1.8,8.1,6.2,11.1,4.6,92.1,94.0,7.9,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,50.0,71.0,16.0,8.0,16.0,60.0,14.0,36.0,12.0,18.0,21.0,168,157,208,50.0,71.0,16.0,8.0,16.0,60.0,14.0,36.0,12.0,18.0,21.0,168,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,20.8,26.7,30.6,11.5,15.9,20.9,24.8,15.3,20.8,26.7,30.6,11.5,15.9,20.9,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220816111A34F,GULF COAST CBOB GAS A2 PL RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-16T00:00:00.000,2022 Report Week 33,GULF COAST CBOB GAS A2 PL RBOB,111A34,NYME,NYC,111,GASOLINE,20304,19799,17074,0,2655,0,0,0,0,0,0,0,19799,19729,505,575,20304,19799,17074,0,2655,0,0,0,0,0,0,0,19799,19729,505,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,100.0,97.5,84.1,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,97.2,2.5,2.8,100.0,97.5,84.1,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,97.2,2.5,2.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,13.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,16,20,13.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,60.1,91.4,82.2,70.1,56.4,78.2,73.4,74.7,60.1,91.4,82.2,70.1,56.4,78.2,73.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220823111659F,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-23T00:00:00.000,2022 Report Week 34,GASOLINE RBOB,111659,NYME,NYC,111,GASOLINE,265738,74055,165831,44860,11203,8395,70626,4592,20904,15952,29196,12773,247565,252894,18173,12844,265738,74055,165831,44860,11203,8395,70626,4592,20904,15952,29196,12773,247565,252894,18173,12844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5954.0,2520.0,5749.0,44.0,2304.0,-173.0,5311.0,-182.0,-176.0,-127.0,245.0,881.0,8280.0,8648.0,-2326.0,-2694.0,100.0,27.9,62.4,16.9,4.2,3.2,26.6,1.7,7.9,6.0,11.0,4.8,93.2,95.2,6.8,4.8,100.0,27.9,62.4,16.9,4.2,3.2,26.6,1.7,7.9,6.0,11.0,4.8,93.2,95.2,6.8,4.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,53.0,73.0,16.0,8.0,17.0,68.0,8.0,33.0,11.0,19.0,24.0,176,159,215,53.0,73.0,16.0,8.0,17.0,68.0,8.0,33.0,11.0,19.0,24.0,176,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,21.5,24.9,32.1,10.5,15.5,19.8,24.6,14.3,21.5,24.9,32.1,10.5,15.5,19.8,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220823111A34F,GULF COAST CBOB GAS A2 PL RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-23T00:00:00.000,2022 Report Week 34,GULF COAST CBOB GAS A2 PL RBOB,111A34,NYME,NYC,111,GASOLINE,20387,19722,17247,0,2540,0,0,0,0,0,0,0,19722,19787,665,600,20387,19722,17247,0,2540,0,0,0,0,0,0,0,19722,19787,665,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,-77.0,173.0,0.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,58.0,160.0,25.0,100.0,96.7,84.6,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,97.1,3.3,2.9,100.0,96.7,84.6,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,97.1,3.3,2.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,16.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16,20,16.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.9,57.1,90.2,78.7,67.4,52.6,75.1,69.3,73.9,57.1,90.2,78.7,67.4,52.6,75.1,69.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220830111659F,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-30T00:00:00.000,2022 Report Week 35,GASOLINE RBOB,111659,NYME,NYC,111,GASOLINE,253215,68653,156872,45449,10668,5773,64525,6107,20039,16269,24985,14027,234735,238471,18480,14744,253215,68653,156872,45449,10668,5773,64525,6107,20039,16269,24985,14027,234735,238471,18480,14744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12523.0,-5402.0,-8959.0,589.0,-535.0,-2622.0,-6101.0,1515.0,-865.0,317.0,-4211.0,1254.0,-12830.0,-14423.0,307.0,1900.0,100.0,27.1,62.0,17.9,4.2,2.3,25.5,2.4,7.9,6.4,9.9,5.5,92.7,94.2,7.3,5.8,100.0,27.1,62.0,17.9,4.2,2.3,25.5,2.4,7.9,6.4,9.9,5.5,92.7,94.2,7.3,5.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,58.0,73.0,17.0,7.0,15.0,57.0,16.0,34.0,14.0,17.0,20.0,173,159,213,58.0,73.0,17.0,7.0,15.0,57.0,16.0,34.0,14.0,17.0,20.0,173,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,20.2,25.4,30.7,10.9,15.4,20.4,23.8,14.3,20.2,25.4,30.7,10.9,15.4,20.4,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220830111A34F,GULF COAST CBOB GAS A2 PL RBOB - NEW YORK MERCANTILE EXCHANGE,2022-08-30T00:00:00.000,2022 Report Week 35,GULF COAST CBOB GAS A2 PL RBOB,111A34,NYME,NYC,111,GASOLINE,20475,19935,17310,0,2415,0,0,0,0,0,0,0,19935,19725,540,750,20475,19935,17310,0,2415,0,0,0,0,0,0,0,19935,19725,540,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,213.0,63.0,0.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,-62.0,-125.0,150.0,100.0,97.4,84.5,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,96.3,2.6,3.7,100.0,97.4,84.5,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,96.3,2.6,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,17.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,20,17.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,56.5,90.2,78.4,69.5,50.7,77.2,70.3,75.9,56.5,90.2,78.4,69.5,50.7,77.2,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220906111659F,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,2022-09-06T00:00:00.000,2022 Report Week 36,GASOLINE RBOB,111659,NYME,NYC,111,GASOLINE,244409,65269,150512,44698,10193,5624,62777,7237,16998,17053,23427,14537,226956,228528,17453,15881,244409,65269,150512,44698,10193,5624,62777,7237,16998,17053,23427,14537,226956,228528,17453,15881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8806.0,-3384.0,-6360.0,-751.0,-475.0,-149.0,-1748.0,1130.0,-3041.0,784.0,-1558.0,510.0,-7779.0,-9943.0,-1027.0,1137.0,100.0,26.7,61.6,18.3,4.2,2.3,25.7,3.0,7.0,7.0,9.6,5.9,92.9,93.5,7.1,6.5,100.0,26.7,61.6,18.3,4.2,2.3,25.7,3.0,7.0,7.0,9.6,5.9,92.9,93.5,7.1,6.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,55.0,70.0,17.0,8.0,14.0,52.0,20.0,36.0,17.0,18.0,23.0,172,163,211,55.0,70.0,17.0,8.0,14.0,52.0,20.0,36.0,17.0,18.0,23.0,172,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,18.6,24.6,29.3,11.7,15.4,21.7,24.2,13.8,18.6,24.6,29.3,11.7,15.4,21.7,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,GASOLINE,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
