period,value
2000-01-04,23.43
2000-01-05,22.99
2000-01-06,22.92
2000-01-07,22.75
2000-01-10,23.13
2000-01-11,23.84
2000-01-12,24.28
2000-01-13,24.5
2000-01-14,25.58
2000-01-18,26.15
2000-01-19,26.1
2000-01-20,26.14
2000-01-21,25.43
2000-01-24,25.35
2000-01-25,25.66
2000-01-26,25.28
2000-01-27,24.9
2000-01-28,24.91
2000-01-31,25.32
2000-02-01,25.82
2000-02-02,25.33
2000-02-03,25.75
2000-02-04,26.37
2000-02-07,25.98
2000-02-08,25.66
2000-02-09,26.16
2000-02-10,26.54
2000-02-11,26.59
2000-02-14,27.24
2000-02-15,27.14
2000-02-16,27.45
2000-02-17,26.84
2000-02-18,26.67
2000-02-22,26.95
2000-02-23,26.25
2000-02-24,26.28
2000-02-25,26.56
2000-02-28,26.4
2000-02-29,26.74
2000-03-01,27.66
2000-03-02,27.68
2000-03-03,27.68
2000-03-06,28.12
2000-03-07,29.46
2000-03-08,27.07
2000-03-09,27.68
2000-03-10,27.38
2000-03-13,27.39
2000-03-14,27.32
2000-03-15,26.88
2000-03-16,27.1
2000-03-17,27
2000-03-20,26.13
2000-03-21,26.47
2000-03-22,25.69
2000-03-23,25.72
2000-03-24,26.21
2000-03-27,25.97
2000-03-28,25.48
2000-03-29,25.31
2000-03-30,25.47
2000-03-31,25.76
2000-04-03,25.34
2000-04-04,24.72
2000-04-05,24.92
2000-04-06,24.7
2000-04-07,24.09
2000-04-10,22.92
2000-04-11,23.17
2000-04-12,24.43
2000-04-13,24.21
2000-04-14,23.92
2000-04-17,24.07
2000-04-18,24.15
2000-04-19,24.91
2000-04-20,24.69
2000-04-24,24.88
2000-04-25,24.42
2000-04-26,24.15
2000-04-27,24.7
2000-04-28,24.86
2000-05-01,24.95
2000-05-02,25.6
2000-05-03,25.46
2000-05-04,25.52
2000-05-05,25.78
2000-05-08,26.42
2000-05-09,27
2000-05-10,26.86
2000-05-11,27.66
2000-05-12,28.06
2000-05-15,28.41
2000-05-16,28.41
2000-05-17,28.38
2000-05-18,29.01
2000-05-19,28.84
2000-05-22,27.83
2000-05-23,27.35
2000-05-24,28.09
2000-05-25,28.43
2000-05-26,27.85
2000-05-30,28.24
2000-05-31,27.4
2000-06-01,28.2
2000-06-02,28.18
2000-06-05,27.72
2000-06-06,27.76
2000-06-07,28.13
2000-06-08,27.83
2000-06-09,27.89
2000-06-12,28.85
2000-06-13,29.41
2000-06-14,29.33
2000-06-15,29.11
2000-06-16,28.31
2000-06-19,28.02
2000-06-20,28.74
2000-06-21,28.45
2000-06-22,29.11
2000-06-23,29.28
2000-06-26,28.9
2000-06-27,29.38
2000-06-28,29.14
2000-06-29,29.65
2000-06-30,29.51
2000-07-05,28.35
2000-07-06,27.98
2000-07-07,28.12
2000-07-10,27.82
2000-07-11,28.13
2000-07-12,28.6
2000-07-13,29.21
2000-07-14,29.21
2000-07-17,28.68
2000-07-18,29.41
2000-07-19,29.32
2000-07-20,28.91
2000-07-21,27.78
2000-07-24,27.31
2000-07-25,27.24
2000-07-26,27.2
2000-07-27,27.43
2000-07-28,27.54
2000-07-31,27
2000-08-01,27.25
2000-08-02,27.46
2000-08-03,27.66
2000-08-04,28.53
2000-08-07,27.94
2000-08-08,28.15
2000-08-09,28.98
2000-08-10,29.7
2000-08-11,29.42
2000-08-14,29.83
2000-08-15,29.74
2000-08-16,29.79
2000-08-17,30.08
2000-08-18,30.46
2000-08-21,30.7
2000-08-22,30.31
2000-08-23,30.37
2000-08-24,29.99
2000-08-25,30.11
2000-08-28,30.75
2000-08-29,30.63
2000-08-30,31.25
2000-08-31,30.99
2000-09-01,31.2
2000-09-05,31.69
2000-09-06,32.52
2000-09-07,33.03
2000-09-08,31.53
2000-09-11,32.87
2000-09-12,32.29
2000-09-13,31.72
2000-09-14,32.08
2000-09-15,33.43
2000-09-18,34.07
2000-09-19,33.53
2000-09-20,33.6
2000-09-21,32.25
2000-09-22,31.43
2000-09-25,30.93
2000-09-26,30.89
2000-09-27,30.91
2000-09-28,30.03
2000-09-29,30.34
2000-10-02,31.31
2000-10-03,31.32
2000-10-04,30.86
2000-10-05,30.42
2000-10-06,30.62
2000-10-09,31.37
2000-10-10,32.38
2000-10-11,32.64
2000-10-12,34.56
2000-10-13,33.02
2000-10-16,31.53
2000-10-17,31.58
2000-10-18,31.48
2000-10-19,30.91
2000-10-20,31.76
2000-10-23,31.88
2000-10-24,31.37
2000-10-25,31.1
2000-10-26,31.59
2000-10-27,30.48
2000-10-30,30.32
2000-10-31,30.27
2000-11-01,30.53
2000-11-02,29.87
2000-11-03,30.11
2000-11-06,30.21
2000-11-07,30.66
2000-11-08,30.68
2000-11-09,31.32
2000-11-10,31.36
2000-11-13,31.68
2000-11-14,31.92
2000-11-15,32.79
2000-11-16,32.45
2000-11-17,33.05
2000-11-20,31.91
2000-11-21,32.07
2000-11-22,32.24
2000-11-27,32.21
2000-11-28,31.36
2000-11-29,31.57
2000-11-30,31
2000-12-01,29.61
2000-12-04,29.12
2000-12-05,28
2000-12-06,28.34
2000-12-07,28.06
2000-12-08,27.44
2000-12-11,28.16
2000-12-12,28.14
2000-12-13,27.21
2000-12-14,26.48
2000-12-15,27.05
2000-12-18,27.63
2000-12-19,26.97
2000-12-20,24.89
2000-12-21,25.24
2000-12-22,25.24
2000-12-26,25.46
2000-12-27,25.25
2000-12-28,24.72
2000-12-29,25.34
2001-01-02,25.74
2001-01-03,26.35
2001-01-04,26.65
2001-01-05,26.28
2001-01-08,25.58
2001-01-09,25.81
2001-01-10,26.97
2001-01-11,26.96
2001-01-12,27.41
2001-01-16,27.11
2001-01-17,26.54
2001-01-18,27.17
2001-01-19,28.56
2001-01-22,28.14
2001-01-23,27.57
2001-01-24,27.19
2001-01-25,27.33
2001-01-26,27.6
2001-01-29,27.16
2001-01-30,27.22
2001-01-31,26.99
2001-02-01,27.92
2001-02-02,29.03
2001-02-05,28.56
2001-02-06,28.49
2001-02-07,29.62
2001-02-08,29.97
2001-02-09,29.63
2001-02-12,29.19
2001-02-13,29.41
2001-02-14,28.77
2001-02-15,28.1
2001-02-16,28.29
2001-02-20,28.15
2001-02-21,27.39
2001-02-22,27.67
2001-02-23,27.95
2001-02-26,27.58
2001-02-27,27.62
2001-02-28,27.11
2001-03-01,27.3
2001-03-02,27.47
2001-03-05,28.02
2001-03-06,27.93
2001-03-07,28.76
2001-03-08,28.3
2001-03-09,28.11
2001-03-12,28.17
2001-03-13,27.79
2001-03-14,26.75
2001-03-15,27.01
2001-03-16,26.98
2001-03-19,26.65
2001-03-20,26.27
2001-03-21,26.72
2001-03-22,26.5
2001-03-23,27.08
2001-03-26,27.16
2001-03-27,27.4
2001-03-28,26.21
2001-03-29,26.34
2001-03-30,26.49
2001-04-02,25.83
2001-04-03,26.27
2001-04-04,27.01
2001-04-05,27.22
2001-04-06,27.2
2001-04-09,27.5
2001-04-10,28.56
2001-04-11,28.49
2001-04-12,28.59
2001-04-16,29.22
2001-04-17,28.93
2001-04-18,28.8
2001-04-19,28.5
2001-04-20,27.88
2001-04-23,27.92
2001-04-24,27.56
2001-04-25,27.94
2001-04-26,28.54
2001-04-27,28.54
2001-04-30,28.65
2001-05-01,29.07
2001-05-02,28.36
2001-05-03,28.91
2001-05-04,28.96
2001-05-07,28.63
2001-05-08,28.59
2001-05-09,28.98
2001-05-10,28.9
2001-05-11,28.82
2001-05-14,28.88
2001-05-15,28.99
2001-05-16,28.78
2001-05-17,28.88
2001-05-18,29.92
2001-05-21,29.95
2001-05-22,29.73
2001-05-23,29.06
2001-05-24,28.23
2001-05-25,28.25
2001-05-29,28.42
2001-05-30,28.37
2001-05-31,28.23
2001-06-01,28.03
2001-06-04,28.29
2001-06-05,28.54
2001-06-06,28.21
2001-06-07,28.12
2001-06-08,28.5
2001-06-11,28.84
2001-06-12,28.99
2001-06-13,28.75
2001-06-14,28.75
2001-06-15,28.39
2001-06-18,27.63
2001-06-19,27.58
2001-06-20,26.55
2001-06-21,26.45
2001-06-22,26.59
2001-06-25,26.91
2001-06-26,26.69
2001-06-27,25.72
2001-06-28,25.68
2001-06-29,26.06
2001-07-02,25.8
2001-07-03,26
2001-07-05,26.33
2001-07-06,27.17
2001-07-09,26.69
2001-07-10,26.62
2001-07-11,26.25
2001-07-12,26.26
2001-07-13,26
2001-07-16,25.91
2001-07-17,25.59
2001-07-18,25
2001-07-19,24.73
2001-07-20,25.66
2001-07-23,25.69
2001-07-24,25.69
2001-07-25,26.09
2001-07-26,26.02
2001-07-27,26.06
2001-07-30,25.8
2001-07-31,25.59
2001-08-01,25.97
2001-08-02,26.74
2001-08-03,26.73
2001-08-06,26.87
2001-08-07,27.03
2001-08-08,26.73
2001-08-09,26.84
2001-08-10,26.98
2001-08-13,26.9
2001-08-14,26.99
2001-08-15,26.58
2001-08-16,26.38
2001-08-17,25.55
2001-08-20,26.02
2001-08-21,26.42
2001-08-22,25.97
2001-08-23,26.26
2001-08-24,26.53
2001-08-27,26.48
2001-08-28,26.89
2001-08-29,26.79
2001-08-30,26.45
2001-08-31,27.04
2001-09-04,26.8
2001-09-05,26.83
2001-09-06,27.32
2001-09-07,27.83
2001-09-10,27.56
2001-09-17,28.73
2001-09-18,27.9
2001-09-19,27.13
2001-09-20,26.82
2001-09-21,26.01
2001-09-24,23.01
2001-09-25,22.41
2001-09-26,22.88
2001-09-27,23.23
2001-09-28,23.84
2001-10-01,23.81
2001-10-02,23.38
2001-10-03,22.77
2001-10-04,23.23
2001-10-05,23.09
2001-10-08,23.16
2001-10-09,23.19
2001-10-10,23.22
2001-10-11,23.82
2001-10-12,22.98
2001-10-15,22.78
2001-10-16,22.46
2001-10-17,22.33
2001-10-18,21.89
2001-10-19,22.48
2001-10-22,22.51
2001-10-23,22.19
2001-10-24,22.6
2001-10-25,22.31
2001-10-26,22.32
2001-10-29,22.39
2001-10-30,22.09
2001-10-31,21.53
2001-11-01,20.85
2001-11-02,20.75
2001-11-05,20.54
2001-11-06,20.37
2001-11-07,20.49
2001-11-08,21.45
2001-11-09,22.48
2001-11-12,21.5
2001-11-13,21.97
2001-11-14,20.22
2001-11-15,18.27
2001-11-16,18.79
2001-11-19,18.88
2001-11-20,19.65
2001-11-21,19.46
2001-11-26,19.17
2001-11-27,19.84
2001-11-28,19.76
2001-11-29,19.35
2001-11-30,19.99
2001-12-03,20.63
2001-12-04,20.31
2001-12-05,20.17
2001-12-06,19.38
2001-12-07,19.96
2001-12-10,19.32
2001-12-11,18.99
2001-12-12,19.18
2001-12-13,18.98
2001-12-14,19.84
2001-12-17,19.85
2001-12-18,19.92
2001-12-19,20.26
2001-12-20,19.83
2001-12-21,20.13
2001-12-26,21.65
2001-12-27,21.34
2001-12-28,20.93
2001-12-31,20.41
2002-01-02,21.42
2002-01-03,20.85
2002-01-04,22.02
2002-01-07,21.9
2002-01-08,21.69
2002-01-09,20.93
2002-01-10,21.25
2002-01-11,20.73
2002-01-14,19.91
2002-01-15,19.91
2002-01-16,20.05
2002-01-17,19.27
2002-01-18,19.3
2002-01-22,19.59
2002-01-23,20.01
2002-01-24,20.14
2002-01-25,20.46
2002-01-28,20.56
2002-01-29,20.19
2002-01-30,19.86
2002-01-31,20.23
2002-02-01,20.96
2002-02-04,20.67
2002-02-05,20.63
2002-02-06,20.38
2002-02-07,20.31
2002-02-08,20.85
2002-02-11,21.95
2002-02-12,21.27
2002-02-13,21.62
2002-02-14,21.62
2002-02-15,21.8
2002-02-19,21.29
2002-02-20,20.7
2002-02-21,21.16
2002-02-22,21.22
2002-02-25,20.74
2002-02-26,21.57
2002-02-27,21.54
2002-02-28,21.99
2002-03-01,22.64
2002-03-04,22.68
2002-03-05,23.39
2002-03-06,23.43
2002-03-07,23.95
2002-03-08,24.16
2002-03-11,24.69
2002-03-12,24.62
2002-03-13,24.6
2002-03-14,24.82
2002-03-15,24.81
2002-03-18,25.38
2002-03-19,25.3
2002-03-20,25.05
2002-03-21,25.48
2002-03-22,25.31
2002-03-25,25.11
2002-03-26,25.41
2002-03-27,25.8
2002-03-28,26.13
2002-04-01,26.64
2002-04-02,27.37
2002-04-03,27.22
2002-04-04,26.46
2002-04-05,26.03
2002-04-08,26.21
2002-04-09,25.56
2002-04-10,25.73
2002-04-11,24.75
2002-04-12,23.4
2002-04-15,24.45
2002-04-16,24.66
2002-04-17,25.47
2002-04-18,25.54
2002-04-19,25.76
2002-04-22,25.84
2002-04-23,25.74
2002-04-24,25.57
2002-04-25,25.83
2002-04-26,26.14
2002-04-29,26.46
2002-04-30,26.38
2002-05-01,25.94
2002-05-02,25.45
2002-05-03,25.77
2002-05-06,25.35
2002-05-07,25.7
2002-05-08,26.38
2002-05-09,26.4
2002-05-10,26.65
2002-05-13,27.02
2002-05-14,27.69
2002-05-15,26.6
2002-05-16,26.66
2002-05-17,26.73
2002-05-20,26.85
2002-05-21,26.26
2002-05-22,26.04
2002-05-23,25.94
2002-05-24,25.79
2002-05-28,25.22
2002-05-29,25.61
2002-05-30,24.65
2002-05-31,25.07
2002-06-03,24.93
2002-06-04,25.16
2002-06-05,24.95
2002-06-06,25.03
2002-06-07,25.05
2002-06-10,24.64
2002-06-11,24.52
2002-06-12,24.88
2002-06-13,25.73
2002-06-14,25.97
2002-06-17,25.99
2002-06-18,25.45
2002-06-19,25.42
2002-06-20,25.81
2002-06-21,25.52
2002-06-24,26.02
2002-06-25,25.75
2002-06-26,26.01
2002-06-27,26.14
2002-06-28,26.23
2002-07-01,26.25
2002-07-02,26.19
2002-07-03,26.2
2002-07-08,25.69
2002-07-09,25.68
2002-07-10,26.25
2002-07-11,26.29
2002-07-12,26.78
2002-07-15,26.44
2002-07-16,27.11
2002-07-17,27.22
2002-07-18,27
2002-07-19,27.18
2002-07-22,26.21
2002-07-23,25.66
2002-07-24,25.99
2002-07-25,26.02
2002-07-26,25.79
2002-07-29,25.79
2002-07-30,26.4
2002-07-31,26.03
2002-08-01,25.66
2002-08-02,25.96
2002-08-05,25.67
2002-08-06,26.17
2002-08-07,25.67
2002-08-08,25.82
2002-08-09,25.91
2002-08-12,26.6
2002-08-13,26.55
2002-08-14,26.78
2002-08-15,27.49
2002-08-16,27.55
2002-08-19,27.78
2002-08-20,27.8
2002-08-21,27.64
2002-08-22,27.54
2002-08-23,27.55
2002-08-26,28.11
2002-08-27,27.96
2002-08-28,27.84
2002-08-29,28.26
2002-08-30,28.27
2002-09-03,27.38
2002-09-04,27.82
2002-09-05,28.46
2002-09-06,28.92
2002-09-09,29.09
2002-09-10,29.2
2002-09-11,29.27
2002-09-12,28.5
2002-09-13,29.3
2002-09-16,29.33
2002-09-17,28.8
2002-09-18,29.04
2002-09-19,29.27
2002-09-20,29.3
2002-09-23,29.22
2002-09-24,29.18
2002-09-25,29.08
2002-09-26,29.13
2002-09-27,29.13
2002-09-30,29.16
2002-10-01,29.34
2002-10-02,29.19
2002-10-03,28.79
2002-10-04,28.78
2002-10-07,28.86
2002-10-08,28.72
2002-10-09,28.67
2002-10-10,28.3
2002-10-11,28.51
2002-10-14,28.9
2002-10-15,28.74
2002-10-16,28.58
2002-10-17,28.72
2002-10-18,28.66
2002-10-21,27.55
2002-10-22,27.35
2002-10-23,27.07
2002-10-24,27.03
2002-10-25,25.97
2002-10-28,26.19
2002-10-29,25.86
2002-10-30,25.95
2002-10-31,26.21
2002-11-01,26.02
2002-11-04,25.75
2002-11-05,25.11
2002-11-06,24.82
2002-11-07,24.46
2002-11-08,24.56
2002-11-11,24.72
2002-11-12,24.7
2002-11-13,24.05
2002-11-14,24.13
2002-11-15,24.37
2002-11-18,25.36
2002-11-19,25.12
2002-11-20,25.64
2002-11-21,25.62
2002-11-22,25.97
2002-11-25,25.52
2002-11-26,25.82
2002-11-27,26.13
2002-12-02,26.36
2002-12-03,26.47
2002-12-04,25.95
2002-12-05,26.47
2002-12-06,26.29
2002-12-09,26.52
2002-12-10,27.03
2002-12-11,26.65
2002-12-12,27.13
2002-12-13,27.41
2002-12-16,28.8
2002-12-17,28.59
2002-12-18,28.93
2002-12-19,28.87
2002-12-20,28.13
2002-12-23,28.99
2002-12-24,29.01
2002-12-26,29.39
2002-12-27,29.44
2002-12-30,28.45
2002-12-31,28.5
2003-01-02,28.84
2003-01-03,29.62
2003-01-06,28.99
2003-01-07,28.73
2003-01-08,28.52
2003-01-09,29.38
2003-01-10,29.04
2003-01-13,29.64
2003-01-14,29.97
2003-01-15,30.48
2003-01-16,30.82
2003-01-17,30.95
2003-01-21,30.96
2003-01-22,29.78
2003-01-23,29.55
2003-01-24,30.13
2003-01-27,29.6
2003-01-28,30.07
2003-01-29,30.75
2003-01-30,30.96
2003-01-31,30.86
2003-02-03,30.52
2003-02-04,31.15
2003-02-05,31.45
2003-02-06,31.45
2003-02-07,32.03
2003-02-10,31.54
2003-02-11,32.07
2003-02-12,32.15
2003-02-13,32.64
2003-02-14,32.72
2003-02-18,32.74
2003-02-19,32.76
2003-02-20,32.11
2003-02-21,31.75
2003-02-24,32.28
2003-02-25,31.72
