date,close
2007-01-05,56.74
2007-01-12,54.12
2007-01-19,51.48
2007-01-26,54.24
2007-02-02,57.09
2007-02-09,58.99
2007-02-16,58.45
2007-02-23,60.06
2007-03-02,61.66
2007-03-09,60.85
2007-03-16,57.93
2007-03-23,59.38
2007-03-30,64.36
2007-04-06,64.81
2007-04-13,62.58
2007-04-20,63.01
2007-04-27,65.57
2007-05-04,63.78
2007-05-11,61.89
2007-05-18,63.6
2007-05-25,65.28
2007-06-01,63.93
2007-06-08,65.89
2007-06-15,66.65
2007-06-22,68.83
2007-06-29,69.23
2007-07-06,71.78
2007-07-13,72.8
2007-07-20,74.94
2007-07-27,75.26
2007-08-03,76.78
2007-08-10,71.94
2007-08-17,72.06
2007-08-24,70.15
2007-08-31,72.92
2007-09-07,75.95
2007-09-14,78.96
2007-09-21,81.79
2007-09-28,81.06
2007-10-05,80.58
2007-10-12,81.47
2007-10-19,87.84
2007-10-26,88.45
2007-11-02,93.57
2007-11-09,95.77
2007-11-16,93.68
2007-11-23,97.04
2007-11-30,92.49
2007-12-07,88.73
2007-12-14,91.16
2007-12-21,91.35
2007-12-28,95.68
2008-01-04,98.17
2008-01-11,94.7
2008-01-18,91.53
2008-01-25,89.24
2008-02-01,91.13
2008-02-08,89.09
2008-02-15,94.12
2008-02-22,99.45
2008-02-29,100.84
2008-03-07,103.42
2008-03-14,109.42
2008-03-21,105.36
2008-03-28,104.24
2008-04-04,103.49
2008-04-11,109.74
2008-04-18,114.41
2008-04-25,117.95
2008-05-02,115.34
2008-05-09,123.0
2008-05-16,124.93
2008-05-23,130.46
2008-05-30,128.46
2008-06-06,128.14
2008-06-13,134.73
2008-06-20,134.37
2008-06-27,137.63
2008-07-04,142.46
2008-07-11,140.04
2008-07-18,135.34
2008-07-25,126.44
2008-08-01,124.57
2008-08-08,118.88
2008-08-15,114.45
2008-08-22,115.63
2008-08-29,116.12
2008-09-05,108.3
2008-09-12,102.85
2008-09-19,97.29
2008-09-26,109.63
2008-10-03,96.68
2008-10-10,86.22
2008-10-17,75.21
2008-10-24,68.78
2008-10-31,65.44
2008-11-07,64.31
2008-11-14,58.64
2008-11-21,52.5
2008-11-28,53.54
2008-12-05,45.5
2008-12-12,44.71
2008-12-19,39.65
2008-12-26,37.99
2009-01-02,42.5
2009-01-09,44.51
2009-01-16,36.91
2009-01-23,43.11
2009-01-30,42.52
2009-02-06,40.5
2009-02-13,36.91
2009-02-20,36.99
2009-02-27,42.18
2009-03-06,43.26
2009-03-13,45.68
2009-03-20,49.46
2009-03-27,53.45
2009-04-03,50.32
2009-04-10,50.46
2009-04-17,49.8
2009-04-24,48.48
2009-05-01,51.07
2009-05-08,56.0
2009-05-15,58.07
2009-05-22,60.69
2009-05-29,64.32
2009-06-05,68.1
2009-06-12,70.83
2009-06-19,70.61
2009-06-26,68.85
2009-07-03,69.36
2009-07-10,61.48
2009-07-17,61.27
2009-07-24,65.86
2009-07-31,67.07
2009-08-07,71.57
2009-08-14,69.65
2009-08-21,70.96
2009-08-28,72.62
2009-09-04,68.41
2009-09-11,70.91
2009-09-18,71.36
2009-09-25,68.43
2009-10-02,68.99
2009-10-09,70.86
2009-10-16,75.74
2009-10-23,80.35
2009-10-30,78.51
2009-11-06,79.04
2009-11-13,78.21
2009-11-20,78.36
2009-11-27,76.9
2009-12-04,76.84
2009-12-11,71.53
2009-12-18,71.77
2009-12-25,75.4
2010-01-01,79.07
2010-01-08,82.37
2010-01-15,80.07
2010-01-22,76.82
2010-01-29,74.03
2010-02-05,74.59
2010-02-12,73.91
2010-02-19,78.3
2010-02-26,79.37
2010-03-05,80.19
2010-03-12,81.76
2010-03-19,81.46
2010-03-26,80.86
2010-04-02,83.29
2010-04-09,85.93
2010-04-16,84.6
2010-04-23,83.48
2010-04-30,84.24
2010-05-07,80.22
2010-05-14,74.97
2010-05-21,69.48
2010-05-28,71.8
2010-06-04,72.89
2010-06-11,73.41
2010-06-18,76.74
2010-06-25,77.35
2010-07-02,74.98
2010-07-09,74.4
2010-07-16,76.35
2010-07-23,77.76
2010-07-30,78.16
2010-08-06,81.81
2010-08-13,78.18
2010-08-20,74.86
2010-08-27,73.16
2010-09-03,74.03
2010-09-10,74.87
2010-09-17,75.65
2010-09-24,74.95
2010-10-01,78.42
2010-10-08,82.37
2010-10-15,82.06
2010-10-22,81.32
2010-10-29,82.12
2010-11-05,84.98
2010-11-12,86.86
2010-11-19,82.2
2010-11-26,82.65
2010-12-03,86.76
2010-12-10,88.5
2010-12-17,88.25
2010-12-24,90.16
2010-12-31,90.97
2011-01-07,89.53
2011-01-14,91.03
2011-01-21,90.05
2011-01-28,87.27
2011-02-04,90.68
2011-02-11,86.69
2011-02-18,85.34
2011-02-25,96.71
2011-03-04,101.03
2011-03-11,103.74
2011-03-18,99.77
2011-03-25,104.62
2011-04-01,105.54
2011-04-08,109.75
2011-04-15,108.21
2011-04-22,109.75
2011-04-29,112.81
2011-05-06,106.16
2011-05-13,100.65
2011-05-20,98.46
2011-05-27,99.89
2011-06-03,100.9
2011-06-10,100.01
2011-06-17,95.89
2011-06-24,92.85
2011-07-01,93.73
2011-07-08,97.1
