date,close,solar_irradiance,wind_speed,precipitation,humidity
2007-01-01,5.37,4.2182,3.27,0.03,78.71
2007-01-02,5.4,3.8498,2.46,0.0,82.38
2007-01-03,7.73,1.0937,2.67,3.23,88.75
2007-01-04,11.42,1.2187,3.2,36.48,94.37
2007-01-05,12.26,3.5774,2.97,0.16,89.62
2007-01-06,14.26,0.9629,2.52,2.32,93.98
2007-01-07,11.21,3.6773,4.65,0.27,79.54
2007-01-08,8.1,4.3728,1.79,0.0,62.41
2007-01-09,8.79,4.0303,2.84,0.0,72.47
2007-01-10,9.56,4.0836,3.41,0.0,81.5
2007-01-11,15.2,2.6525,4.49,0.0,91.62
2007-01-12,18.23,2.6866,4.02,0.02,95.43
2007-01-13,20.03,1.3994,4.4,12.27,92.47
2007-01-14,14.4,1.2358,1.79,15.17,96.83
2007-01-15,2.05,1.0032,7.0,14.56,84.06
2007-01-16,-0.3,1.0222,5.82,2.43,78.45
2007-01-17,0.95,1.3346,2.35,4.12,84.98
2007-01-18,3.05,0.9665,2.03,3.9,91.54
2007-01-19,5.45,1.8113,3.15,1.37,92.79
2007-01-20,8.78,1.0594,4.29,9.84,94.37
2007-01-21,10.08,2.3998,1.22,0.34,82.68
2007-01-22,7.14,2.1425,4.24,0.7,82.79
2007-01-23,5.74,0.7409,3.65,18.11,89.17
2007-01-24,5.39,0.8669,3.19,14.7,93.75
2007-01-25,7.66,4.6721,2.92,0.0,82.95
2007-01-26,8.4,4.3042,2.42,0.1,84.06
2007-01-27,11.41,2.9839,2.93,12.74,92.03
2007-01-28,4.47,4.7513,4.54,0.0,73.62
2007-01-29,5.53,2.8915,2.22,0.17,79.87
2007-01-30,8.08,1.021,3.74,4.89,93.4
2007-01-31,5.38,0.917,2.97,4.53,91.41
2007-02-01,6.79,1.669,2.05,2.07,94.77
2007-02-02,4.94,3.4553,3.96,0.01,82.96
2007-02-03,3.98,3.4985,2.04,0.0,79.98
2007-02-04,8.59,3.6202,1.4,0.0,80.55
2007-02-05,8.98,4.7777,2.14,0.0,82.41
2007-02-06,12.06,3.8902,3.19,0.0,87.57
2007-02-07,15.52,2.9398,3.32,0.01,90.05
2007-02-08,16.95,2.8248,1.55,0.18,90.95
2007-02-09,10.0,1.2643,3.84,0.11,88.26
2007-02-10,7.11,2.063,2.72,0.0,81.94
2007-02-11,8.98,1.315,2.56,0.0,86.04
2007-02-12,16.03,1.1741,4.84,21.43,95.72
2007-02-13,10.22,4.7386,6.17,0.51,81.75
2007-02-14,2.97,3.2167,4.55,0.0,75.94
2007-02-15,1.42,4.8631,4.26,0.0,78.82
2007-02-16,0.99,5.6609,2.47,0.0,76.77
2007-02-17,7.53,5.5543,4.94,0.0,76.02
2007-02-18,6.81,5.6626,2.27,0.0,69.96
2007-02-19,12.34,2.6918,4.85,0.0,86.73
2007-02-20,16.59,1.8569,3.2,0.55,93.03
2007-02-21,17.72,5.3383,3.4,1.15,80.18
2007-02-22,16.9,4.5991,2.26,0.01,83.16
2007-02-23,16.66,2.2298,4.63,0.51,91.57
2007-02-24,18.32,2.2229,5.86,2.59,79.68
2007-02-25,11.82,5.9081,3.07,0.0,61.8
2007-02-26,14.47,4.7882,3.7,0.0,80.73
2007-02-27,16.66,5.0436,2.53,0.0,86.23
2007-02-28,19.31,2.1034,4.43,0.0,91.14
2007-03-01,16.25,5.1106,4.77,0.33,71.66
2007-03-02,11.8,5.8138,2.77,0.0,66.57
2007-03-03,9.27,5.917,3.82,0.0,69.04
2007-03-04,6.06,6.5225,3.97,0.0,63.0
2007-03-05,9.94,6.449,1.61,0.0,50.17
2007-03-06,10.51,5.6753,2.45,0.0,75.56
2007-03-07,13.98,5.4646,2.36,0.0,83.36
2007-03-08,15.42,5.3976,2.19,0.0,82.24
2007-03-09,17.39,4.2499,2.52,0.0,86.87
2007-03-10,19.33,5.0611,2.68,0.04,84.25
2007-03-11,17.58,4.3747,3.64,13.29,86.56
2007-03-12,18.97,2.2265,3.27,10.05,94.81
2007-03-13,18.09,2.7262,1.55,37.2,94.4
2007-03-14,18.09,1.3406,2.95,33.98,95.47
2007-03-15,18.94,5.7986,2.0,0.53,83.82
2007-03-16,16.55,4.2773,4.1,0.01,86.37
2007-03-17,14.61,6.2102,3.12,0.0,77.85
2007-03-18,17.69,3.6552,3.65,0.0,85.72
2007-03-19,19.62,4.5732,5.09,0.0,84.05
2007-03-20,20.2,4.5696,4.68,0.1,85.61
2007-03-21,20.29,4.6327,4.84,0.04,85.05
2007-03-22,19.68,4.1045,3.98,0.0,87.41
2007-03-23,20.14,4.6301,3.9,0.0,87.84
2007-03-24,20.72,3.8006,4.16,0.02,88.92
2007-03-25,20.68,3.5477,3.72,0.01,89.74
2007-03-26,20.21,3.311,5.04,10.71,89.47
2007-03-27,21.82,4.8389,4.48,6.51,87.41
2007-03-28,21.97,4.4909,4.73,0.01,85.98
2007-03-29,22.13,4.1422,5.27,0.02,86.19
2007-03-30,21.12,3.5921,4.9,3.64,87.95
2007-03-31,19.45,1.5314,2.79,35.18,84.68
2007-04-01,21.11,5.316,1.8,4.79,77.53
2007-04-02,21.38,3.3782,2.77,0.5,92.87
2007-04-03,22.59,4.3116,2.87,0.66,89.82
2007-04-04,18.19,0.954,3.81,5.56,89.72
2007-04-05,15.33,7.2226,3.19,0.0,69.71
2007-04-06,14.07,7.0246,3.8,0.0,71.35
2007-04-07,5.34,1.177,4.42,15.32,77.06
2007-04-08,7.38,3.8431,2.35,2.93,77.45
2007-04-09,12.25,3.7618,2.45,0.17,80.46
2007-04-10,18.94,6.3415,4.0,3.82,88.38
2007-04-11,18.73,7.1544,3.51,0.12,72.77
