date,close,solar_irradiance,wind_speed,precipitation,humidity
2007-01-01,10.08,0.4318,7.39,42.59,93.55
2007-01-02,5.87,2.687,7.62,0.01,75.77
2007-01-03,5.99,2.5694,6.12,0.0,81.33
2007-01-04,7.97,1.9507,5.49,0.01,95.89
2007-01-05,11.11,0.6902,6.65,2.99,96.87
2007-01-06,12.88,1.8653,7.46,0.66,91.15
2007-01-07,7.75,2.3386,4.91,11.32,78.52
2007-01-08,9.22,0.5647,9.55,26.05,86.88
2007-01-09,3.95,1.8202,7.16,0.05,73.8
2007-01-10,1.27,2.4773,8.38,0.09,71.22
2007-01-11,1.26,2.5901,5.13,0.0,71.14
2007-01-12,6.37,0.9934,7.13,0.02,84.84
2007-01-13,8.65,0.991,4.87,2.29,94.11
2007-01-14,7.59,0.7577,3.1,2.93,96.14
2007-01-15,8.36,0.6264,5.07,0.83,97.22
2007-01-16,4.22,0.6742,8.32,0.35,78.75
2007-01-17,-2.45,3.0866,6.46,0.0,70.11
2007-01-18,2.55,1.4165,3.41,0.99,80.73
2007-01-19,3.0,2.1648,7.58,2.01,83.65
2007-01-20,-1.09,2.3105,11.44,0.11,72.94
2007-01-21,-2.68,1.8413,4.42,0.08,69.0
2007-01-22,0.47,0.737,2.05,0.11,80.04
2007-01-23,0.96,2.1101,5.93,0.01,76.78
2007-01-24,2.12,1.9589,4.74,0.02,73.31
2007-01-25,-0.42,1.8612,6.1,0.23,73.68
2007-01-26,-6.74,2.8356,9.37,0.01,82.06
2007-01-27,0.78,0.9674,3.77,0.13,75.6
2007-01-28,3.21,1.7806,2.85,1.38,77.87
2007-01-29,-1.72,2.603,8.9,0.68,74.8
2007-01-30,-0.39,2.485,6.05,0.37,74.08
2007-01-31,-0.62,2.9873,7.23,0.1,72.87
2007-02-01,0.39,2.1094,5.26,0.18,73.62
2007-02-02,2.52,1.4585,3.91,4.36,91.04
2007-02-03,-1.05,3.6732,9.05,0.0,69.27
2007-02-04,-3.87,3.3857,9.21,0.0,72.12
2007-02-05,-8.13,3.6038,10.93,0.0,80.78
2007-02-06,-6.55,3.7325,8.34,0.0,83.69
2007-02-07,-5.46,3.5945,7.2,0.02,76.21
2007-02-08,-4.8,3.7037,9.11,0.0,77.26
2007-02-09,-3.59,3.647,9.24,0.0,76.49
2007-02-10,-2.53,3.6523,6.13,0.0,74.11
2007-02-11,-2.69,3.7522,5.76,0.0,73.32
2007-02-12,0.49,2.7473,5.92,0.0,75.07
2007-02-13,-2.33,2.0736,7.23,1.37,72.18
2007-02-14,-0.76,0.7774,12.51,21.2,93.51
2007-02-15,-6.5,3.647,10.58,0.0,84.07
