metric,month,period,mean,std
crack_321,1,07-15,15.852770428598664,6.715766956014589
crack_321,1,16-26,18.770359501175815,7.027725136524207
crack_321,2,07-15,18.898738141183728,8.733016057991302
crack_321,2,16-26,19.118049375253833,6.355242571834198
crack_321,3,07-15,21.580586319745972,9.720405814749226
crack_321,3,16-26,25.745539268517394,10.67941850652189
crack_321,4,07-15,20.938630693015597,8.06760052657378
crack_321,4,16-26,26.551391971268842,11.725894575706128
crack_321,5,07-15,21.02588944520779,6.577919004603821
crack_321,5,16-26,27.502962422984865,13.036073358237523
crack_321,6,07-15,20.294521324815808,6.969011858967873
crack_321,6,16-26,26.89085858312004,14.38260561364438
crack_321,7,07-15,19.52034624623511,8.488268570769193
crack_321,7,16-26,27.713836924712545,15.511293267529739
crack_321,8,07-15,19.409491599513796,9.775246752359815
crack_321,8,16-26,27.557901688286517,15.19836355767242
crack_321,9,07-15,15.781372521234596,9.875345598645193
crack_321,9,16-26,21.33274668852488,10.012430171598961
crack_321,10,07-15,14.075340223072761,9.90551741734055
crack_321,10,16-26,20.53383520191366,9.011912599442846
crack_321,11,07-15,14.151507521723653,8.354660198309965
crack_321,11,16-26,20.007791252697217,7.719877602524596
crack_321,12,07-15,14.014604398359856,6.920300462583701
crack_321,12,16-26,18.40388392147265,5.432546161031505
utilization,0,07-15,87.24179104477611,3.9824564251811516
utilization,0,16-26,89.38440860215054,5.727607142725315
