variant,window,n,ann,t,lo90,hi90,neg,worst
Curve book raw,TRAIN,140,0.12977084115735343,2.8985359411961227,0.0044541483254480875,0.01614439789000484,0.2785714285714286,-0.12791116346372614
Curve book raw,VALIDATE,92,0.042273005794869256,0.9712811167762133,-0.002327160617070678,0.009037161536891195,0.29347826086956524,-0.1788855082172413
Curve book raw,OOS,198,0.11024807156170313,2.781789597651421,0.0035756604314902823,0.013924033467192756,0.2878787878787879,-0.19378660740322687
Curve book raw,FULL,236,0.10191048895965246,2.985068166767477,0.003630955929964063,0.012545312158869663,0.288135593220339,-0.19378660740322687
Curve book + gear,TRAIN,140,0.04736635702243399,2.8985359411961213,0.0016257641387885506,0.005892705229851766,0.2785714285714286,-0.04668757466426004
Curve book + gear,VALIDATE,92,0.015429647115127277,0.9712811167762129,-0.0008494136252307982,0.0032985639609652865,0.29347826086956524,-0.06529321049929307
Curve book + gear,OOS,198,0.040240546120021634,2.7817895976514206,0.0013051160574939524,0.005082272215525355,0.2878787878787879,-0.07073211170217779
Curve book + gear,FULL,236,0.03719732847027316,2.985068166767478,0.001325298914436884,0.004579038937987428,0.288135593220339,-0.07073211170217779
Bar5 raw,TRAIN,140,0.09936699456254501,2.240519173878828,0.0020961323155004484,0.01367640650395114,0.18571428571428572,-0.1328523970255341
Bar5 raw,VALIDATE,92,0.07457054251143981,1.5427282693476418,-0.0003923403046788669,0.012228934354113758,0.15217391304347827,-0.1788855082172413
Bar5 raw,OOS,198,0.10139204904297042,2.5325750844729336,0.0028201754470211643,0.013273800591545568,0.1919191919191919,-0.19378660740322687
Bar5 raw,FULL,236,0.09715811685643394,2.821425731449367,0.0032151736635725814,0.012206749646972489,0.17796610169491525,-0.19378660740322687
Bar5 + gear,TRAIN,140,0.036268953015328925,2.240519173878829,0.0007650882951576641,0.004991888373942165,0.18571428571428572,-0.04849112491431994
Bar5 + gear,VALIDATE,92,0.02721824801667553,1.5427282693476414,-0.000143204211207787,0.004463561039251522,0.15217391304347827,-0.06529321049929307
Bar5 + gear,OOS,198,0.037008097900684205,2.532575084472934,0.0010293640381627254,0.004844937215914133,0.1919191919191919,-0.07073211170217779
Bar5 + gear,FULL,236,0.03546271265259839,2.821425731449367,0.0011735383872039926,0.004455463621144958,0.17796610169491525,-0.07073211170217779
curve_meta,,24,0.1714541978417058,0.5833333333333335,,,,
