book,variant,window,sharpe,cagr,maxdd,vol,worst
A,raw,IS,1.0830894919204095,0.17453616452313714,-0.2016451604581987,0.1602909844534047,-0.06233670935446317
A,raw,OOS,0.6352870682452425,0.09461815305260268,-0.2979881742465793,0.1628315692706301,-0.12157456736338015
A,ov,IS,1.1260488487571025,0.057907488467485724,-0.06582562485177124,0.051150742005676805,-0.02316453623992197
A,ov,OOS,0.8624604480449326,0.05624681739650583,-0.10734142203117869,0.06593038266157218,-0.028486405465007976
B,raw,IS,0.2971040482857109,0.03969447986339292,-0.23416163142117186,0.18968513932237624,-0.0489284475833764
B,raw,OOS,-0.08567951024782987,-0.02903953813992033,-0.6223212962964605,0.17368208636340554,-0.10370733674199639
B,ov,IS,nan,nan,nan,nan,nan
B,ov,OOS,-0.08082482120334993,-0.003682905157727845,-0.11228767207187329,0.037168833467258085,-0.03811623208065201
C,raw,IS,0.784701911318708,0.11071130453054034,-0.11522994532493769,0.14746599125930063,-0.03870299118199518
C,raw,OOS,0.3938798869467423,0.045812422752044446,-0.3602105105053178,0.13718348060731697,-0.07294474041802809
C,ov,IS,0.09775662531541507,0.0017866593950492948,-0.019296033278220825,0.020343930002774322,-0.006705495504481552
C,ov,OOS,0.3145830887708695,0.013104334549390195,-0.11687366648893927,0.04451543426840644,-0.03202548206993413
D,raw,IS,0.2650433269794325,0.031396722037911884,-0.2057573636322354,0.17452515853847228,-0.08395289192326448
D,raw,OOS,0.022905087600219313,-0.011502892259043995,-0.6011961979460562,0.1754400497191521,-0.18810877383968988
D,ov,IS,nan,nan,nan,nan,nan
D,ov,OOS,-0.31326349402164394,-0.00921275754481421,-0.1603382149096707,0.028247879922579936,-0.0626149198198258
E,raw,IS,-0.24528015782088655,-0.08554338100206937,-0.3509357507856552,0.24221542674799712,-0.13992148653877412
E,raw,OOS,-0.40755000898233057,-0.12074378852867096,-0.8920012941392597,0.24104993450748463,-0.31351462306614974
E,ov,IS,nan,nan,nan,nan,nan
E,ov,OOS,-0.28100367157248496,-0.006522276310123143,-0.11144288385586765,0.02237966985742573,-0.04849243342564445
DRILL_crack_short,sum,2011-2014,-0.5996295425949602,0.0,0.0,0.0,0.0
DRILL_crack_mom,sum,2011-2014,-0.31326110769887605,0.0,0.0,0.0,0.0
DRILL_cross_short,sum,2011-2014,-0.5992182949177008,0.0,0.0,0.0,0.0
DRILL_cross_mom,sum,2011-2014,0.19650471418850166,0.0,0.0,0.0,0.0
NC_B,shuffled_raw,OOS,-0.4565685241996055,0.15665459243175203,0.0,0.0,0.0
NC_B,shuffled_ov,OOS,-0.08328785422479874,0.16754435895937622,0.0,0.0,0.0
