axis,state,n,mean,std,med,p5,p95,fwd20
R1_gmm,comp,3167,-0.0015303240528375262,0.11013451286976862,-0.0008560623167796758,-0.08511631566557264,0.08771787849186369,0.0463835563341451
R1_gmm,exp,338,0.021749002567222602,0.33597739309055297,0.011619180167139158,-0.0977832550196609,0.09827619041989337,-0.08534571069138482
R1_gmm,norm,959,0.003574675935300825,0.06092981950111434,0.004930773212627122,-0.08168648472226281,0.08793730412945158,0.02853636596430434
R2_base,comp,432,-0.011087510025720716,0.07785817356045083,-0.011233453322806945,-0.13481896888884282,0.10000183297943697,0.16333448081339205
R2_base,exp,890,0.01472985158142629,0.21053853597879044,0.008831607324640778,-0.08877138250899226,0.11258607569882602,-0.01170820481091944
R2_base,norm,3304,0.0006829399940839359,0.1125164604082628,0.0004867205254525393,-0.08203581279679319,0.08996179939215689,0.02728619538936255
phase,peak,1609,0.00475311965271852,0.1979899212710925,0.001707277345242741,-0.08349363192868993,0.09815017334756765,0.004710286371370515
phase,shoulder,1616,-0.0006027600341999183,0.07132464722593661,0.0008633532386998306,-0.09400271906747203,0.09524416935145275,0.019438520972098455
phase,trough,1590,0.002665332805753266,0.09481145264503246,0.00059872128581252,-0.09190706578189982,0.10282617789401424,0.0752384806101435
weather,cold,613,0.0007092817969327791,0.11429013273002721,0.0031392543086763425,-0.09622492124652955,0.1065210904037649,0.050732620757778554
weather,mild,3419,0.003646829503525096,0.14787774585241356,0.0009522736347438221,-0.08766961384295335,0.10052110656251652,0.03164189748843777
weather,warm,783,-0.002543692652576466,0.05975625553202623,0.0006276173239932756,-0.10145270515602217,0.07817666140072038,0.024951768660476353
blend,far,2048,0.0029704597266377356,0.08187901964864328,0.0011764203071718366,-0.08030563737011308,0.08698241991747548,0.06601982076093033
blend,near,1628,0.0035328539325134114,0.07116764363691881,0.0018193333174984026,-0.09377645367925114,0.10937716023641797,0.019964324964218582
blend,switch,1139,-0.0008107104962082453,0.23636540988873878,-0.00036672860282473835,-0.10602098579730818,0.09661252238425944,-0.00829225972870257
inventory,build,568,0.0031333995881192905,0.31918879262606376,-0.0006425398953671011,-0.07905678393309347,0.07697961641217672,0.029976838046864334
inventory,draw,635,0.001726119265504008,0.057608570759200034,0.0018111849472449409,-0.0752188173331517,0.0750429805518646,0.03215287893684578
inventory,flat,3612,0.0022247319400492582,0.08433903702914859,0.0016126735975740465,-0.09364622982899969,0.10418254768403774,0.033616861109470327
margin,crush,1192,0.010499693215391005,0.08039264398487772,0.0028511144774304893,-0.07869054380965793,0.09860516241338027,0.11790233311350502
margin,norm,2135,0.003896171944409081,0.14667859789520082,0.0008709305104835425,-0.08765778968679046,0.0953426238672286,0.028048722843661597
margin,stretch,1488,-0.006668261389082487,0.14610378179992806,-0.0007769761022651501,-0.10670665609490022,0.10251961174388773,-0.028606203908709733
