check,value
A3_max_mean_median_gap,3.625913
A4_early_late_delta,0.408950
A5_std_07-10,3.401014
A5_std_11-15,6.754359
A5_std_16-20,4.291638
A5_std_21-26,12.409991
A6_mean_std_corr,0.448296
A8_skew,1.612375
A8_kurtosis,3.304829
A2_calendar_spread,0.193870
A2_weather_spread,0.157183
shape_expansion,"[-8,-1.5):-10.4;[-1.5,-0.75):-1.4;[-0.75,-0.25):2.2;[-0.25,0.25):3.9;[0.25,0.75):2.9;[0.75,1.5):-2.2;[1.5,8):-6.0"
shape_compression,"[-8,-1.5):14.8;[-1.5,-0.75):14.4;[-0.75,-0.25):5.2;[-0.25,0.25):-1.4;[0.25,0.75):4.7;[0.75,1.5):3.8;[1.5,8):2.9"
season_curve,1:12.4;2:27.5;3:3.3;4:1.8;5:-2.6;6:-0.8;7:0.4;8:-13.5;9:-3.3;10:2.3;11:3.6;12:12.1
depth_curve,d0:+7.6%;d1:+6.7%;d2:+8.8%;d3:+10.1%;d4:+18.0%;d5:+6.8%;d6:+8.4%;d7:+11.3%;d8:+13.2%;d9:+19.0%
