t,cb,budget,trail,cool,zcut,entries,train_t
1.5,0.99,0.075,0.85,3,-0.4479166666666665,858,3.6362166866065575
1.5,0.995,0.075,0.85,3,-0.4479166666666665,858,3.6362166866065575
1.5,0.999,0.075,0.85,3,-0.4479166666666665,858,3.6362166866065575
1.5,0.99,0.05,0.65,3,-0.4479166666666665,858,3.535622994560023
1.5,0.99,0.075,0.65,3,-0.4479166666666665,858,3.535622994560023
1.5,0.995,0.05,0.65,3,-0.4479166666666665,858,3.535622994560023
1.5,0.995,0.075,0.65,3,-0.4479166666666665,858,3.535622994560023
1.5,0.999,0.05,0.65,3,-0.4479166666666665,858,3.535622994560023
1.5,0.999,0.075,0.65,3,-0.4479166666666665,858,3.535622994560023
1.5,0.99,0.05,0.85,3,-0.4479166666666665,858,3.452661354638739
1.5,0.995,0.05,0.85,3,-0.4479166666666665,858,3.452661354638739
1.5,0.999,0.05,0.85,3,-0.4479166666666665,858,3.452661354638739
1.5,0.99,0.05,0.65,0,-0.4479166666666665,858,3.4297244291813835
1.5,0.99,0.075,0.65,0,-0.4479166666666665,858,3.4297244291813835
1.5,0.995,0.05,0.65,0,-0.4479166666666665,858,3.4297244291813835
1.5,0.995,0.075,0.65,0,-0.4479166666666665,858,3.4297244291813835
1.5,0.999,0.05,0.65,0,-0.4479166666666665,858,3.4297244291813835
1.5,0.999,0.075,0.65,0,-0.4479166666666665,858,3.4297244291813835
1.5,0.99,0.05,0.85,0,-0.4479166666666665,858,3.3426553370963963
1.5,0.995,0.05,0.85,0,-0.4479166666666665,858,3.3426553370963963
1.5,0.999,0.05,0.85,0,-0.4479166666666665,858,3.3426553370963963
1.5,0.99,0.075,0.85,5,-0.4479166666666665,858,3.323643755489594
1.5,0.995,0.075,0.85,5,-0.4479166666666665,858,3.323643755489594
1.5,0.999,0.075,0.85,5,-0.4479166666666665,858,3.323643755489594
1.5,0.99,0.075,0.85,0,-0.4479166666666665,858,3.2992875662989416
1.5,0.995,0.075,0.85,0,-0.4479166666666665,858,3.2992875662989416
1.5,0.999,0.075,0.85,0,-0.4479166666666665,858,3.2992875662989416
1.5,0.99,0.05,0.75,0,-0.4479166666666665,858,3.2303244978028314
1.5,0.995,0.05,0.75,0,-0.4479166666666665,858,3.2303244978028314
1.5,0.999,0.05,0.75,0,-0.4479166666666665,858,3.2303244978028314
1.5,0.99,0.075,0.75,3,-0.4479166666666665,858,3.2121621066994868
1.5,0.995,0.075,0.75,3,-0.4479166666666665,858,3.2121621066994868
1.5,0.999,0.075,0.75,3,-0.4479166666666665,858,3.2121621066994868
1.5,0.99,0.075,0.75,0,-0.4479166666666665,858,3.1689555587992686
1.5,0.995,0.075,0.75,0,-0.4479166666666665,858,3.1689555587992686
