tbar,stor,zcut,train_t
0.0,,0.697916666666667,3.4490590746097514
0.0,0.25,0.697916666666667,2.8818162975173673
0.0,0.5,0.697916666666667,3.438335561656236
0.0,0.75,0.697916666666667,3.6101460116487902
0.0,1.0,0.697916666666667,3.5682409286356958
0.0,1.25,0.697916666666667,3.5862605495382947
0.0,1.5,0.697916666666667,3.7092771335406227
0.0,1.75,0.697916666666667,3.395313011367108
0.0,2.0,0.697916666666667,3.358325783209212
0.0,2.25,0.697916666666667,3.317057460305385
0.0,2.5,0.697916666666667,3.4314632242944905
0.0,3.0,0.697916666666667,3.429633585393181
0.25,,0.46875,3.3954617880035354
0.25,0.25,0.46875,2.804336454434386
0.25,0.5,0.46875,3.360813138248564
0.25,0.75,0.46875,3.531666966915397
0.25,1.0,0.46875,3.4944576290796077
0.25,1.25,0.46875,3.520507078581716
0.25,1.5,0.46875,3.6448596328057223
0.25,1.75,0.46875,3.3428826242943948
0.25,2.0,0.46875,3.3053545945576457
0.25,2.25,0.46875,3.2647942353281727
0.25,2.5,0.46875,3.3791353377241826
0.25,3.0,0.46875,3.376477474968083
0.5,,0.46875,3.3954617880035354
0.5,0.25,0.46875,2.804336454434386
0.5,0.5,0.46875,3.360813138248564
0.5,0.75,0.46875,3.531666966915397
0.5,1.0,0.46875,3.4944576290796077
0.5,1.25,0.46875,3.520507078581716
0.5,1.5,0.46875,3.6448596328057223
0.5,1.75,0.46875,3.3428826242943948
0.5,2.0,0.46875,3.3053545945576457
0.5,2.25,0.46875,3.2647942353281727
0.5,2.5,0.46875,3.3791353377241826
0.5,3.0,0.46875,3.376477474968083
0.75,,0.46875,3.3954617880035354
0.75,0.25,0.46875,2.804336454434386
0.75,0.5,0.46875,3.360813138248564
0.75,0.75,0.46875,3.531666966915397
0.75,1.0,0.46875,3.4944576290796077
0.75,1.25,0.46875,3.520507078581716
0.75,1.5,0.46875,3.6448596328057223
0.75,1.75,0.46875,3.3428826242943948
0.75,2.0,0.46875,3.3053545945576457
0.75,2.25,0.46875,3.2647942353281727
0.75,2.5,0.46875,3.3791353377241826
0.75,3.0,0.46875,3.376477474968083
1.0,,0.23958333333333304,3.459994031936481
1.0,0.25,0.23958333333333304,2.8526707151454818
1.0,0.5,0.23958333333333304,3.4080433178406344
1.0,0.75,0.23958333333333304,3.5922885353788656
1.0,1.0,0.23958333333333304,3.5567851816535407
1.0,1.25,0.23958333333333304,3.5806448491438356
1.0,1.5,0.23958333333333304,3.708221632711392
1.0,1.75,0.23958333333333304,3.404327958172996
1.0,2.0,0.23958333333333304,3.3674742548849994
1.0,2.25,0.23958333333333304,3.3310633380334607
1.0,2.5,0.23958333333333304,3.445796083506286
1.0,3.0,0.23958333333333304,3.4403402289374903
1.25,,-0.4479166666666665,3.4700791152491557
1.25,0.25,-0.4479166666666665,2.8588924377928624
1.25,0.5,-0.4479166666666665,3.4472488700243127
1.25,0.75,-0.4479166666666665,3.625184151319313
1.25,1.0,-0.4479166666666665,3.582949751336415
1.25,1.25,-0.4479166666666665,3.6136360788760835
1.25,1.5,-0.4479166666666665,3.7188269990791056
1.25,1.75,-0.4479166666666665,3.415987302209632
1.25,2.0,-0.4479166666666665,3.3760362780571676
1.25,2.25,-0.4479166666666665,3.3354340150071016
1.25,2.5,-0.4479166666666665,3.448185979019245
1.25,3.0,-0.4479166666666665,3.457740216741936
1.5,,-0.4479166666666665,3.4700791152491557
1.5,0.25,-0.4479166666666665,2.8588924377928624
1.5,0.5,-0.4479166666666665,3.4472488700243127
1.5,0.75,-0.4479166666666665,3.625184151319313
1.5,1.0,-0.4479166666666665,3.582949751336415
1.5,1.25,-0.4479166666666665,3.6136360788760835
1.5,1.5,-0.4479166666666665,3.7188269990791056
1.5,1.75,-0.4479166666666665,3.415987302209632
1.5,2.0,-0.4479166666666665,3.3760362780571676
1.5,2.25,-0.4479166666666665,3.3354340150071016
1.5,2.5,-0.4479166666666665,3.448185979019245
1.5,3.0,-0.4479166666666665,3.457740216741936
1.75,,-0.90625,2.590531934556966
1.75,0.25,-0.90625,2.025459416770798
1.75,0.5,-0.90625,2.5361979965368446
1.75,0.75,-0.90625,2.7755276280473535
1.75,1.0,-0.90625,2.7627325078122453
1.75,1.25,-0.90625,2.784242249012793
1.75,1.5,-0.90625,2.8396549698078135
1.75,1.75,-0.90625,2.5610527349926326
1.75,2.0,-0.90625,2.5092360077992226
1.75,2.25,-0.90625,2.4721096609271065
1.75,2.5,-0.90625,2.5404204598262248
1.75,3.0,-0.90625,2.572664510155156
2.0,,-0.90625,2.590531934556966
2.0,0.25,-0.90625,2.025459416770798
2.0,0.5,-0.90625,2.5361979965368446
2.0,0.75,-0.90625,2.7755276280473535
2.0,1.0,-0.90625,2.7627325078122453
2.0,1.25,-0.90625,2.784242249012793
2.0,1.5,-0.90625,2.8396549698078135
2.0,1.75,-0.90625,2.5610527349926326
2.0,2.0,-0.90625,2.5092360077992226
2.0,2.25,-0.90625,2.4721096609271065
2.0,2.5,-0.90625,2.5404204598262248
2.0,3.0,-0.90625,2.572664510155156
2.25,,-0.90625,2.590531934556966
2.25,0.25,-0.90625,2.025459416770798
2.25,0.5,-0.90625,2.5361979965368446
2.25,0.75,-0.90625,2.7755276280473535
2.25,1.0,-0.90625,2.7627325078122453
2.25,1.25,-0.90625,2.784242249012793
2.25,1.5,-0.90625,2.8396549698078135
2.25,1.75,-0.90625,2.5610527349926326
2.25,2.0,-0.90625,2.5092360077992226
2.25,2.25,-0.90625,2.4721096609271065
2.25,2.5,-0.90625,2.5404204598262248
2.25,3.0,-0.90625,2.572664510155156
2.5,,-0.90625,2.590531934556966
2.5,0.25,-0.90625,2.025459416770798
2.5,0.5,-0.90625,2.5361979965368446
2.5,0.75,-0.90625,2.7755276280473535
