2012 scale=0.0 cb=0.0 hard=0.0 trail=0.0 cool=0 zcut=nan
2013 scale=1.0 cb=0.11 hard=0.1 trail=0.07945784997479544 cool=3 zcut=0.46875
2014 scale=0.3715078089293192 cb=0.1097750188094325 hard=0.2691733460144451 trail=0.11050899980780057 cool=1 zcut=1.385416666666667
2015 scale=0.43985628207096394 cb=0.08960785214176911 hard=0.22734698599545422 trail=0.0895583978412652 cool=1 zcut=-1.1354166666666665
2016 scale=0.42494855900484974 cb=0.10459260462937857 hard=0.23532260053824244 trail=0.10657310574882778 cool=1 zcut=-0.90625
2017 scale=0.45029389212003607 cb=0.10235527243992572 hard=0.22207718503395274 trail=0.11587823455041016 cool=1 zcut=-1.1354166666666665
2018 scale=0.4565237734761332 cb=0.10159435347686772 hard=0.21904664293507586 trail=0.1311821426190678 cool=1 zcut=-0.90625
2019 scale=0.46004680946637566 cb=0.09872311109904507 hard=0.21736918492271143 trail=0.12503952962562095 cool=1 zcut=-0.90625
2020 scale=0.4743865427019641 cb=0.10675976194016046 hard=0.21079855982092127 trail=0.12128068589714296 cool=1 zcut=-0.6770833333333335
2021 scale=0.40720596820314653 cb=0.1381048334786807 hard=0.24557596844973573 trail=0.1424568932672253 cool=1 zcut=-0.90625
2022 scale=0.4102211936509227 cb=0.1374096533733112 hard=0.24377092541224213 trail=0.14095842276922385 cool=1 zcut=-0.90625
2023 scale=0.41857223544167915 cb=0.13754781835752536 hard=0.23890738929322342 trail=0.13970518764233575 cool=1 zcut=-0.90625
2024 scale=0.4419461195888108 cb=0.1322666163686565 hard=0.22627192675215832 trail=nan cool=1 zcut=-0.90625
2025 scale=0.4312992165902866 cb=0.12891790593701796 hard=0.23185759712379717 trail=nan cool=1 zcut=-0.90625
2026 scale=0.4388270180154799 cb=0.12805700042346715 hard=0.22788022590822438 trail=nan cool=1 zcut=-0.90625
