date,ret,pos,scale
2012-01-03,-4.046148976044241e-06,0.5098147709815745,
2012-01-04,0.05021522061386001,0.5098147709815745,
2012-01-05,-0.02237482516896904,0.323383955076899,
2012-01-06,0.023236192237618997,0.4954932654170921,
2012-01-09,0.015624736579283526,0.33812526210077504,
2012-01-10,-0.0031155871443451955,0.34679186688861285,
2012-01-11,0.012493786067759926,0.0,
2012-01-12,0.0,0.0,
2012-01-13,0.0,0.0,
2012-01-17,-0.0,0.0,
2012-01-18,0.0,0.0,
2012-01-19,0.0,0.0,
2012-01-20,0.0,0.0,
2012-01-23,-0.0,0.0,
2012-01-24,0.0,0.0,
2012-01-25,0.0,0.0,
2012-01-26,0.0,0.0,
2012-01-27,0.0,0.0,
2012-01-30,-0.0,0.0,
2012-01-31,0.0,0.0,
2012-02-01,0.0,0.0,
2012-02-02,0.0,0.0,
2012-02-03,0.0,0.0,
2012-02-06,0.0,0.0,
2012-02-07,-0.0,0.0,
2012-02-08,0.0,0.0,
2012-02-09,0.0,0.0,
2012-02-10,-0.0,0.0,
2012-02-13,-0.0,0.0,
2012-02-14,-0.0,0.0,
2012-02-15,-0.0,0.0,
2012-02-16,0.0,0.0,
2012-02-17,-0.0,0.0,
2012-02-21,-0.0,0.0,
2012-02-22,0.0,0.0,
2012-02-23,-0.0,0.0,
2012-02-24,-0.0,0.0,
2012-02-27,0.0,0.0,
2012-02-28,-0.0,0.0,
2012-02-29,-0.0,0.0,
2012-03-01,0.0,0.0,
2012-03-02,-0.0,0.0,
2012-03-05,-0.0,0.0,
2012-03-06,0.0,0.0,
2012-03-07,0.0,0.0,
2012-03-08,0.0,0.0,
2012-03-09,-0.0,0.0,
2012-03-12,0.0,0.0,
2012-03-13,0.0,0.0,
2012-03-14,0.0,0.0,
2012-03-15,-0.0,0.0,
2012-03-16,0.0,0.0,
2012-03-19,-0.0,0.0,
2012-03-20,0.0,0.0,
2012-03-21,-0.0,0.0,
2012-03-22,0.0,0.0,
2012-03-23,0.0,0.0,
2012-03-26,0.0,0.0,
2012-03-27,-0.0,0.0,
2012-03-28,0.0,0.0,
2012-03-29,0.0,0.0,
2012-03-30,-0.0,0.0,
2012-04-02,-0.0,0.0,
2012-04-03,0.0,0.0,
2012-04-04,-0.0,0.0,
2012-04-05,-0.0,0.0,
2012-04-09,-0.0,0.0,
2012-04-10,-0.0,0.0,
2012-04-11,-0.0,0.0,
2012-04-12,0.0,0.0,
2012-04-13,0.0,0.0,
2012-04-16,-0.0,0.0,
2012-04-17,-0.0,0.0,
2012-04-18,0.0,0.0,
2012-04-19,-0.0,0.0,
2012-04-20,-0.0,0.0,
2012-04-23,0.0,0.0,
2012-04-24,-0.0,0.0,
2012-04-25,-0.0,0.0,
2012-04-26,0.0,0.0,
2012-04-27,0.0,0.0,
2012-04-30,-0.0,0.0,
2012-05-01,-0.0,0.0,
2012-05-02,-0.00016629071329286356,0.3273848417953251,
2012-05-03,0.01252188390255514,0.34528524852157194,
2012-05-04,0.009928414683227818,0.2197151110213165,
2012-05-07,0.0007604745007864484,0.0,
2012-05-08,0.0,0.0,
2012-05-09,0.0,0.0,
2012-05-10,-0.0,0.0,
2012-05-11,0.0,0.0,
2012-05-14,-0.0,0.0,
2012-05-15,0.0,0.0,
2012-05-16,0.0,0.0,
2012-05-17,-0.0,0.0,
2012-05-18,-0.0002075987245373234,0.40870998893285543,
2012-05-21,0.010624595208653984,0.0,
2012-05-22,0.0,0.0,
2012-05-23,-0.0,0.0,
2012-05-24,-0.0,0.0,
2012-05-25,-0.00014376471482821038,0.2830367823180392,
2012-05-29,0.0019884102350336786,0.2784738338862421,
2012-05-30,0.006053413603654746,0.28363661973741394,
2012-05-31,-0.001223322543115125,0.0,
2012-06-01,-0.0,0.0,
2012-06-04,-0.0,0.0,
2012-06-05,-0.00016773566102576979,0.33022958264448427,
2012-06-06,-0.0004518571871943232,0.32923768550624377,
2012-06-07,-0.00016670593254056255,0.3684045777460523,
2012-06-08,0.010041615872943112,0.40332537325446227,
2012-06-11,0.0010399886538395688,0.0,
2012-06-12,-0.0,0.0,
2012-06-13,-0.0002589535344668315,0.5098147709815745,
2012-06-14,-0.008267419627640335,0.38485414509173255,
2012-06-15,0.01133503441540636,0.3716376768466475,
2012-06-18,-0.010295075397845823,0.0,
2012-06-19,-0.0002063175123707055,0.40618760247982644,
2012-06-20,0.001739329509405257,0.48390007428755094,
2012-06-21,0.027292527911358857,0.5098147709815745,
2012-06-22,-0.01599117579627861,0.39049228632337896,
2012-06-25,0.03772862817818461,0.5098147709815745,
2012-06-26,0.0062575559153835005,0.0,
2012-06-27,-0.0,0.0,
2012-06-28,0.0,0.0,
2012-06-29,-0.0,0.0,
2012-07-02,-0.0,0.0,
2012-07-03,0.0,0.0,
2012-07-05,0.0,0.0,
2012-07-06,0.0,0.0,
2012-07-09,0.0,0.0,
2012-07-10,0.0,0.0,
2012-07-11,-0.0,0.0,
2012-07-12,0.0,0.0,
2012-07-13,-0.0,0.0,
2012-07-16,0.0,0.0,
2012-07-17,-0.0,0.0,
2012-07-18,0.0,0.0,
2012-07-19,-0.0,0.0,
2012-07-20,0.0,0.0,
2012-07-23,0.0,0.0,
2012-07-24,-0.0,0.0,
2012-07-25,-0.0,0.0,
2012-07-26,0.0,0.0,
2012-07-27,0.0,0.0,
2012-07-30,0.0,0.0,
2012-07-31,0.0,0.0,
2012-08-01,-0.0,0.0,
2012-08-02,0.0,0.0,
2012-08-03,-0.0,0.0,
2012-08-06,-0.0,0.0,
2012-08-07,0.0,0.0,
2012-08-08,0.0,0.0,
2012-08-09,0.0,0.0,
2012-08-10,0.0,0.0,
2012-08-13,-0.0,0.0,
2012-08-14,-0.0,0.0,
2012-08-15,0.0,0.0,
2012-08-16,-0.0,0.0,
2012-08-17,-0.0,0.0,
2012-08-20,0.0,0.0,
2012-08-21,0.0,0.0,
2012-08-22,0.0,0.0,
2012-08-23,0.0,0.0,
2012-08-24,-0.0,0.0,
2012-08-27,0.0,0.0,
2012-08-28,-0.0,0.0,
2012-08-29,0.0,0.0,
2012-08-30,0.0,0.0,
2012-08-31,-0.0,0.0,
2012-09-04,-0.0,0.0,
2012-09-05,-0.0,0.0,
2012-09-06,0.0,0.0,
2012-09-07,0.0,0.0,
2012-09-10,0.0,0.0,
2012-09-11,0.0,0.0,
2012-09-12,-0.0,0.0,
2012-09-13,-0.0,0.0,
2012-09-14,0.0,0.0,
2012-09-17,-0.0,0.0,
2012-09-18,-0.0,0.0,
2012-09-19,0.0,0.0,
2012-09-20,0.0,0.0,
2012-09-21,0.0,0.0,
2012-09-24,-0.0,0.0,
2012-09-25,0.0,0.0,
2012-09-26,0.0,0.0,
2012-09-27,0.0,0.0,
2012-09-28,0.0,0.0,
2012-10-01,-0.0,0.0,
2012-10-02,-0.0,0.0,
2012-10-03,0.0,0.0,
2012-10-04,0.0,0.0,
2012-10-05,0.0,0.0,
2012-10-08,-0.0,0.0,
2012-10-09,-0.0,0.0,
2012-10-10,0.0,0.0,
2012-10-11,-0.0,0.0,
2012-10-12,-0.0,0.0,
2012-10-15,-0.0,0.0,
2012-10-16,-0.0,0.0,
2012-10-17,-0.0,0.0,
2012-10-18,-0.0,0.0,
2012-10-19,-0.0,0.0,
2012-10-22,-0.0,0.0,
2012-10-23,0.0,0.0,
2012-10-24,0.0,0.0,
2012-10-25,0.0,0.0,
2012-10-26,0.0,0.0,
2012-10-31,0.0,0.0,
2012-11-01,-0.0,0.0,
2012-11-02,-0.0,0.0,
2012-11-05,0.0,0.0,
2012-11-06,0.0,0.0,
2012-11-07,-0.0,0.0,
2012-11-08,-0.0,0.0,
2012-11-09,0.0,0.0,
2012-11-12,-0.0,0.0,
2012-11-13,-0.0,0.0,
2012-11-14,0.0,0.0,
2012-11-15,0.0,0.0,
2012-11-16,-0.0,0.0,
2012-11-19,-0.0,0.0,
2012-11-20,0.0,0.0,
2012-11-21,0.0,0.0,
2012-11-23,-0.0,0.0,
2012-11-26,-0.0,0.0,
2012-11-27,0.0,0.0,
2012-11-28,0.0,0.0,
2012-11-29,0.0,0.0,
2012-11-30,-0.0,0.0,
2012-12-03,-0.0,0.0,
2012-12-04,-0.0,0.0,
2012-12-05,-0.0,0.0,
2012-12-06,-0.0,0.0,
2012-12-07,-0.0,0.0,
2012-12-10,0.0,0.0,
2012-12-11,0.0,0.0,
2012-12-12,0.0,0.0,
2012-12-13,-0.0,0.0,
2012-12-14,0.0,0.0,
2012-12-17,-0.0,0.0,
2012-12-18,0.0,0.0,
2012-12-19,0.0,0.0,
2012-12-20,0.0,0.0,
2012-12-21,0.0,0.0,
2012-12-24,0.0,0.0,
2012-12-26,0.0,0.0,
2012-12-27,0.0,0.0,
2012-12-28,-0.0,0.0,
2012-12-31,-0.0,0.0,
2013-01-02,-0.0,0.0,
2013-01-03,-0.0002895546580078359,0.5700607329529269,
2013-01-04,-0.023729076930843,0.5700607329529269,
2013-01-07,0.008928377354051619,0.0,
2013-01-08,0.0,0.0,
2013-01-09,-0.0002895546580078359,0.5700607329529269,
2013-01-10,-0.010538930729418815,0.5700607329529269,
2013-01-11,-0.03751130942712507,0.0,
2013-01-14,0.0,0.0,
2013-01-15,-0.0,0.0,
2013-01-16,-0.0,0.0,
2013-01-17,0.0,0.0,
2013-01-18,0.0,0.0,
2013-01-22,0.0,0.0,
2013-01-23,0.0,0.0,
2013-01-24,-0.00026073223962422125,0.5133165967601855,
2013-01-25,0.00010164080107027753,0.5134084945677174,
2013-01-28,0.02223416797689039,0.5185831659802482,
2013-01-29,0.011889853257585226,0.5363367270517706,
2013-01-30,0.03132678182260911,0.37760596475234354,
2013-01-31,0.0035140651411679357,0.0,
2013-02-01,0.0,0.0,
2013-02-04,0.0,0.0,
2013-02-05,0.0,0.0,
2013-02-06,0.0,0.0,
2013-02-07,-0.0,0.0,
2013-02-08,0.0,0.0,
2013-02-11,-0.0,0.0,
2013-02-12,0.0,0.0,
2013-02-13,-0.0,0.0,
2013-02-14,0.0,0.0,
2013-02-15,0.0,0.0,
2013-02-19,-0.0,0.0,
2013-02-20,0.0,0.0,
2013-02-21,0.0,0.0,
2013-02-22,0.0,0.0,
2013-02-25,-0.0,0.0,
2013-02-26,-0.0,0.0,
2013-02-27,-0.0,0.0,
2013-02-28,0.0,0.0,
2013-03-01,-0.00017973387760737505,0.3538510715395196,
2013-03-04,-0.0047820732785818654,0.0,
2013-03-05,0.0,0.0,
2013-03-06,-0.0,0.0,
2013-03-07,-0.0,0.0,
2013-03-08,0.0,0.0,
2013-03-11,-0.0,0.0,
2013-03-12,-0.0,0.0,
2013-03-13,-0.0,0.0,
2013-03-14,-0.0,0.0,
2013-03-15,0.0,0.0,
2013-03-18,-0.0,0.0,
2013-03-19,-0.0,0.0,
2013-03-20,-0.00014701033486491614,0.28942659676530363,
2013-03-21,-0.005876247250651605,0.0,
2013-03-22,-9.505079069417591e-05,0.18713124417915883,
2013-03-25,-0.0063195273740609915,0.24741051136156256,
2013-03-26,-0.0010230606786317193,0.0,
2013-03-27,0.0,0.0,
2013-03-28,0.0,0.0,
2013-04-01,0.0,0.0,
2013-04-02,-0.0,0.0,
2013-04-03,-0.00021075387615329943,0.4149216936768082,
2013-04-04,0.0024874188657360275,0.0,
2013-04-05,-0.0,0.0,
2013-04-08,0.0,0.0,
2013-04-09,0.0,0.0,
2013-04-10,-0.0,0.0,
2013-04-11,-0.0,0.0,
2013-04-12,0.0,0.0,
2013-04-15,0.0,0.0,
2013-04-16,0.0,0.0,
2013-04-17,-0.0,0.0,
2013-04-18,0.0,0.0,
2013-04-19,0.0,0.0,
2013-04-22,-0.0,0.0,
2013-04-23,-0.0,0.0,
2013-04-24,-0.0,0.0,
2013-04-25,0.0,0.0,
2013-04-26,0.0,0.0,
2013-04-29,-0.0,0.0,
2013-04-30,-0.0,0.0,
2013-05-01,-0.0,0.0,
2013-05-02,-0.0,0.0,
2013-05-03,0.0,0.0,
2013-05-06,0.0,0.0,
2013-05-07,-0.0,0.0,
2013-05-08,-0.0,0.0,
2013-05-09,0.0,0.0,
2013-05-10,-0.0,0.0,
2013-05-13,-0.0,0.0,
2013-05-14,0.0,0.0,
2013-05-15,-0.00027220630983434307,0.535906172486363,
2013-05-16,-0.0007295677935550821,0.5618970531100421,
2013-05-17,0.005013813835138358,0.5700607329529269,
2013-05-20,-0.01198132136764509,0.5700607329529269,
2013-05-21,-0.032271093034374525,0.5345340324819801,
